date,Google Maps
2021-06-01,4.458333333333333
2021-06-02,3.3869047619047623
2021-06-03,3.9222972972972974
2021-06-04,4.179285714285714
2021-06-05,4.803403755868544
2021-06-06,5.496794871794871
2021-06-07,6.098785541546336
2021-06-08,9.416205765154727
2021-06-09,9.303707420987292
2021-06-10,11.2432532058246
2021-06-11,11.158006150037616
2021-06-12,11.009638190134563
2021-06-13,10.217578129283797
2021-06-14,10.713689958409786
2021-06-15,8.860502470062295
2021-06-16,7.875083732218665
2021-06-17,6.773028710172532
2021-06-18,6.725335988221843
2021-06-19,6.2817095465420065
2021-06-20,6.576801291705181
2021-06-21,6.296517673043878
2021-06-22,4.71957529437765
2021-06-29,6.615134120372693
2021-06-30,7.410064883540208
2021-07-01,8.297800055284569
2021-07-02,9.5261266516552
2021-07-03,7.14358644590322
2021-07-04,5.357122669209184
2021-07-05,4.017523030568942
2021-07-06,5.283368330226152
2021-07-07,6.056379782170223
2021-07-08,8.011231206195134
2021-07-09,8.581383026163024
2021-07-10,9.00897809733013
2021-07-11,8.590049152806332
2021-07-12,8.505034162507398
2021-07-13,6.378724935279485
2021-07-20,4.784015190642982
2021-07-21,3.587995355815138
2021-07-22,2.690987496025421
2021-07-23,3.091160306964697
2021-07-24,6.224637955771239
2021-07-25,6.991398386569664
2021-07-26,7.399800089447743
2021-07-27,5.549845652216164
2021-07-28,4.162381755801405
2021-07-29,3.1217849199621086
2021-07-30,4.278839854887612
2021-07-31,6.969548589574545
2021-08-01,7.633411818141033
2021-08-02,10.162559937839289
2021-08-03,7.621919144043272
2021-08-17,7.851856079634952
2021-08-18,7.274308622903473
2021-08-19,6.653648050433211
2021-08-20,5.229819227646138
2021-08-21,3.922364321897791
2021-08-22,2.9417731858276386
2021-08-23,2.206329858098146
2021-08-24,3.3447474298795252
2021-08-25,3.2898105710956274
2021-08-26,3.0611079242190224
2021-08-27,3.024997609345096
2021-08-28,3.0812482075764294
2021-08-29,3.144269489492602
2021-08-30,3.1186187836405246
2021-08-31,2.338964084411396
2021-09-07,1.7542230614416108
2021-09-08,1.3156672950310564
2021-09-09,0.986750470682582
2021-09-10,3.9067295236116526
2021-09-11,7.669630479843386
2021-09-12,11.887639529745007
2021-09-13,15.988646316305788
2021-09-14,11.991484735525823
2021-09-15,8.99361355068614
2021-09-16,6.745210162475602
2021-09-17,6.277657621772638
2021-09-18,6.624909883042972
2021-09-19,8.781182412500304
2021-09-20,10.429636809500265
2021-09-21,7.822227606976868
2021-09-28,6.20000403849677
2021-09-29,4.650003028822978
2021-09-30,3.4875022715893333
2021-10-01,2.9177100370150777
2021-10-02,2.9278658610947788
2021-10-03,3.050066062488988
2021-10-04,4.016716213540748
2021-10-05,3.0125371601498423
2021-10-06,2.259402870109165
2021-10-07,1.694552152580064
2021-10-08,2.3021641144365077
2021-10-09,4.080789752497253
2021-10-10,5.508508981041536
2021-10-11,6.100131735781752
2021-10-12,6.7450988018368045
2021-10-13,5.787990768043724
2021-10-14,5.226409742699221
2021-10-15,4.815640640357617
2021-10-16,4.705480480268187
2021-10-17,4.247860360201058
2021-10-18,4.0296452701507635
2021-10-19,3.0222339526129707
2021-11-02,3.3083421311264165
2021-11-03,2.4812565983447654
2021-11-04,1.8609424487585475
2021-11-05,1.3957068365688956
2021-11-06,1.0467801274266633
2021-11-07,0.7850850955699927
2021-11-08,0.5888138216774919
2021-11-09,3.111610366258145
2021-11-10,5.0837077746936234
2021-11-11,6.052364164353556
2021-11-12,8.549689789931845
2021-11-13,8.693517342448885
2021-11-14,9.082638006836664
2021-11-15,9.624478505127499
2021-11-16,7.218358878845621
2021-11-23,7.320019159134216
2021-11-24,9.53168103601733
2021-11-25,9.825844110346331
2021-11-26,10.119383082759748
2021-11-27,8.485370645403146
2021-11-28,8.634861317385692
2021-11-29,8.361562654705935
2021-11-30,7.331171991029452
2021-12-01,7.456712326605422
2021-12-02,8.384200911620733
2021-12-03,7.517317350382216
2021-12-04,5.6379880127866615
2021-12-05,4.2284910095899955
2021-12-06,3.1713682571924964
2021-12-07,2.378526192894372
2021-12-08,1.7838946446707789
2021-12-09,1.3379209835030839
2021-12-10,1.7117740709606464
2021-12-11,3.4296638865538185
2021-12-12,3.572247914915364
2021-12-13,4.783352602853189
2021-12-14,4.617514452139892
2021-12-15,3.890219172438252
2021-12-16,3.605164379328689
2021-12-17,4.651789951163184
2021-12-18,5.4367591300390545
2021-12-19,4.369236014195957
2021-12-20,4.266510343980301
2021-12-21,4.759882757985226
2021-12-22,4.684495401822253
2021-12-23,5.107121551366689
2021-12-24,4.528257830191683
2021-12-25,4.073276705977095
2021-12-26,5.638290862816155
2021-12-27,5.853718147112116
2021-12-28,5.450288610334087
2021-12-29,6.129383124417233
2021-12-30,6.732454009979591
2021-12-31,6.632673840818026
2022-01-01,6.297422047280187
2022-01-02,6.4626498687934735
2022-01-03,6.659487401595105
2022-01-04,6.824615551196329
2022-01-05,6.097628330063914
2022-01-06,5.552387914214602
2022-01-07,5.049707602327619
2022-01-08,4.683114035079047
2022-01-09,4.647752192975952
2022-01-10,4.694147478065298
2022-01-11,5.030610608548973
2022-01-12,5.397957956411729
2022-01-13,5.517218467308797
2022-01-14,5.40874718381493
2022-01-15,4.0565603878611975
2022-01-16,3.042420290895898
2022-01-17,2.281815218171923
2022-01-18,3.5913614136289427
2022-01-19,3.7768543935550403
2022-01-20,3.968057461832947
2022-01-21,5.965626429708044
2022-01-22,6.7971364889477
2022-01-23,6.722852366710775
2022-01-24,6.031722608366414
2022-01-25,4.523791956274811
