date,Pasqua
2021-06-08,4.958333333333333
2021-06-09,4.553571428571429
2021-06-10,2.710585585585586
2021-06-11,3.0145238095238094
2021-06-12,3.829225352112676
2021-06-13,5.477836352836353
2021-06-14,6.2656165621844995
2021-06-15,4.524949130987706
2021-06-22,3.3919762697231035
2021-06-23,3.6523974333191513
2021-06-24,2.7860407144488835
2021-06-25,2.7014338317706197
2021-06-26,3.8022272128106644
2021-06-27,3.1313840272694513
2021-06-28,4.016617807559874
2021-06-29,3.295233209457352
2021-06-30,4.595784414670297
2021-07-01,6.080207055538089
2021-07-02,5.620712418481688
2021-07-03,4.211064020030398
2021-07-04,3.155788137414433
2021-07-05,2.3654312591536226
2021-07-06,1.7732812334708528
2021-07-20,1.329515654592014
2021-07-21,0.9968864229917752
2021-07-22,0.7475240752411971
2021-07-23,0.8002487084017263
2021-07-24,1.3086812814374784
2021-07-25,1.7628691074931846
2021-07-26,2.4681111075436664
2021-07-27,1.8510006770048362
2021-07-28,1.3882040187066855
2021-07-29,1.0411268654735484
2021-07-30,0.9058375046488975
2021-07-31,2.5544479939071936
2021-08-01,3.155438430508738
2021-08-02,3.07491023659737
2021-08-03,2.3061689336037947
2021-08-04,1.7296189693710924
2021-08-05,1.297209878469472
2021-08-06,1.295824065066358
2021-08-07,1.3260348863638898
2021-08-08,1.7132778076982023
2021-08-09,3.253713257387492
2021-08-10,2.7602837654835715
2021-08-11,2.8097962460662274
2021-08-12,3.857348590775636
2021-08-13,5.3825963120254
2021-08-14,5.599447397762338
2021-08-15,4.6370850033150885
2021-08-16,4.571563724656728
2021-08-17,3.428672429417744
2021-08-31,3.2902542889928683
2021-09-01,3.7281074618692265
2021-09-02,4.2752473365991435
2021-09-03,3.2376853978702864
2021-09-04,2.428263987214652
2021-09-05,1.8211979559927054
2021-09-06,1.3658984476342453
2021-09-07,1.0244238248355246
2021-09-08,0.7683178625009289
2021-09-09,0.5762383934299824
2021-09-10,0.8592621322136931
2021-09-11,1.2486132697557581
2021-09-12,2.4052099610699624
2021-09-13,2.710157472533358
2021-09-14,2.0326181015157267
2021-09-21,2.2223802434093263
2021-09-22,2.4063685163309003
2021-09-23,2.554776387514705
2021-09-24,3.3223322916698836
2021-09-25,4.043832552814612
2021-09-26,5.032874415360313
2021-09-27,4.920489144789706
2021-09-28,3.6903668580680242
2021-09-29,2.7677751432561246
2021-09-30,2.0758313572762157
2021-10-01,1.702706851223409
2021-10-02,2.006196805125148
2021-10-03,1.6713142704766595
2021-10-04,3.0764023696307388
2021-10-05,2.3073017771793016
2021-10-06,1.7304763328598654
2021-10-07,1.2978572496310554
2021-10-08,1.6504762705650877
2021-10-09,1.571190536255722
2021-10-10,2.1367262355327594
2021-10-11,2.2067113433169445
2021-10-12,3.2850335074958963
2021-10-13,3.7033584639576382
2021-10-14,2.850435514631252
2021-10-15,2.2940766359716562
2021-10-16,2.2205574769785654
2021-10-17,1.8320847743998907
2021-10-18,2.5823969141342653
2021-10-19,2.746797685600866
2021-10-20,2.8830149308674193
2021-10-21,3.4851778648175746
2021-10-22,3.009716731946311
2021-10-23,3.1947875489597926
2021-10-24,3.05234066171981
2021-10-25,2.393422162956405
2021-10-26,3.25506662221742
2021-10-27,3.7225499666631126
2021-10-28,3.3335791416639715
2021-10-29,3.9585176895813476
2021-10-30,3.9688882671860113
2021-10-31,3.6433328670561647
2021-11-01,3.5970829836254556
2021-11-02,2.6978122377190754
2021-11-09,2.1587758449559655
2021-11-10,2.9628318837169823
2021-11-11,2.5867072461210676
2021-11-12,3.283780434590805
2021-11-13,2.5253353259431006
2021-11-14,2.5606681611239925
2021-11-15,3.0455011208429954
2021-11-16,2.284125840632245
2021-11-17,1.713094380474183
2021-11-18,1.2848207853556368
2021-11-19,1.0573655890167275
2021-11-20,1.7513575250958793
2021-11-21,1.573934810488576
2021-11-22,2.8054511078664324
2021-11-23,3.0740883308998246
2021-11-24,3.8368162481748684
2021-11-25,3.5026121861311514
2021-11-26,3.1998758062650303
2021-11-27,2.910323521365439
2021-11-28,2.4431593076907454
2021-11-29,2.9782028141013925
2021-11-30,3.5136521105760448
2021-12-01,2.7394057495986996
2021-12-02,2.262887645532358
2021-12-03,2.728415734149268
2021-12-04,2.0463118006119507
2021-12-05,1.534733850458963
2021-12-06,1.151050387844222
2021-12-07,0.8632877908831664
2021-12-08,0.6474658431623748
2021-12-09,0.485599382371781
2021-12-10,0.43711620344550245
2021-12-11,2.0465871525841273
2021-12-12,3.0453570311047624
2021-12-13,2.5027677733285714
2021-12-14,2.9270758299964283
2021-12-15,3.934890205830655
2021-12-16,3.4824176543729912
2021-12-17,2.8513965741130765
2021-12-18,3.253130763918141
2021-12-19,4.075264739605273
2021-12-20,4.191865221370621
2021-12-21,3.533898916027966
2021-12-22,2.952507520354308
2021-12-23,3.047713973599065
2021-12-24,3.056618813532632
2021-12-25,3.8549641101494743
2021-12-26,5.464139749278773
2021-12-27,4.608521478625746
2021-12-28,5.406391108969309
2021-12-29,7.398543331726983
2021-12-30,6.78849083212857
2021-12-31,6.258034790763094
2022-01-01,6.089359426405654
2022-01-02,6.744102903137573
2022-01-03,8.818493844019846
2022-01-04,8.233870383014883
2022-01-05,6.519152787261162
2022-01-06,6.170614590445872
2022-01-07,5.002960942834403
2022-01-08,4.356387373792469
2022-01-09,4.361040530344352
2022-01-10,4.03119706442493
2022-01-11,4.3133977983186975
2022-01-12,3.610048348739023
2022-01-13,3.280452928220934
2022-01-14,3.5332563628323674
2022-01-15,2.6499422721242754
2022-01-16,1.9874567040932063
