date,Gita
2021-06-01,3.5
2021-06-02,5.30952380952381
2021-06-03,3.2297297297297303
2021-06-04,3.252380952380953
2021-06-05,2.4867690994451563
2021-06-06,2.3260568260568264
2021-06-07,2.7489023502617926
2021-06-08,2.985348028825774
2021-06-09,2.6289150282588403
2021-06-10,2.4512655373055345
2021-06-11,2.7685148891782587
2021-06-12,2.3549526918024326
2021-06-13,3.3204009274826483
2021-06-14,3.3024814065190284
2021-06-15,2.790012699301443
2021-06-16,3.2323596558730796
2021-06-17,3.236803143363966
2021-06-18,2.569674613596929
2021-06-19,2.2697377423483234
2021-06-20,2.985824168585434
2021-06-21,3.5114516168018204
2021-06-22,3.633806970903708
2021-06-23,4.403468256738951
2021-06-24,3.520465194983996
2021-06-25,2.775204722011099
2021-06-26,2.5500264491812197
2021-06-27,2.7146728659851784
2021-06-28,2.285868512995318
2021-06-29,3.7147416129395228
2021-06-30,3.077609095914703
2021-07-01,3.7562143786650393
2021-07-02,2.889990436369225
2021-07-03,2.167438390697646
2021-07-04,1.6255481737931807
2021-07-05,1.2191439075957013
2021-07-06,2.024383524251835
2021-07-07,2.851640696539285
2021-07-08,2.4928907752060003
2021-07-09,3.244678161956338
2021-07-10,3.996016177361991
2021-07-11,5.517856944745786
2021-07-12,7.2321524060358815
2021-07-13,5.424106633672384
2021-07-20,4.068075660409296
2021-07-21,3.0510543182111687
2021-07-22,2.288289373418888
2021-07-23,2.039133362265778
2021-07-24,3.6231016164291563
2021-07-25,3.988159821309024
2021-07-26,4.720286947267882
2021-07-27,3.540214709225563
2021-07-28,2.6551607499799834
2021-07-29,1.9913704038942235
2021-07-30,1.691444415844283
2021-07-31,1.862333334849108
2021-08-01,4.386333588871943
2021-08-02,5.12308358068177
2021-08-03,3.8423126128965928
2021-08-04,2.8817344188266576
2021-08-05,2.161300791144239
2021-08-06,2.027225590151278
2021-08-07,3.1350025458192072
2021-08-08,4.153335256398645
2021-08-09,4.000418107422611
2021-08-10,3.190313574436073
2021-08-11,3.6114851832176305
2021-08-12,4.021113889157016
2021-08-13,3.5470854153543043
2021-08-14,2.8998973932993257
2021-08-15,2.6957563779412057
2021-08-16,2.459317283137434
2021-08-17,2.814487962711872
2021-08-18,2.2462826382700665
2021-08-19,2.9659619791115017
2021-08-20,3.599471484603616
2021-08-21,2.699603613165082
2021-08-22,2.0247027097120194
2021-08-23,1.5185270321930067
2021-08-24,1.138895274093563
2021-08-31,1.1875047889084216
2021-09-01,1.5156285917062047
2021-09-02,2.334638110492912
2021-09-03,2.4488952495412253
2021-09-04,1.836671437136328
2021-09-05,1.377503577841226
2021-09-06,1.0331276833747207
2021-09-07,0.7748457625275538
2021-09-14,0.5811343218937041
2021-09-15,0.43585074141917485
2021-09-16,0.32688805606376053
2021-09-17,0.8180827087165852
2021-09-18,0.988562031537985
2021-09-19,2.2205881903231157
2021-09-20,3.259191142744209
2021-09-21,3.5343933570585286
2021-09-22,3.4320450177937927
2021-09-23,2.9698670966783265
2021-09-24,3.373233655842308
2021-09-25,3.957008575215314
2021-09-26,3.0719230980778685
2021-09-27,3.231025656891773
2021-09-28,2.4232692426686837
2021-09-29,1.8174519320014308
2021-09-30,1.363088949001027
2021-10-01,1.1577333784174213
2021-10-02,1.2953833671464072
2021-10-03,1.648620858693154
2021-10-04,2.4968823106865594
2021-10-05,1.8726617330149045
2021-10-06,1.4044962997611699
2021-10-07,1.0533722248208726
2021-10-08,1.7275291686156613
2021-10-09,2.1289802097950825
2021-10-10,2.1384018240129787
2021-10-11,3.655884701343074
2021-10-12,2.741913526007303
2021-10-19,3.2751851445054783
2021-10-20,2.9251388583791083
2021-10-21,2.7876041437843306
2021-10-22,3.903203107838249
2021-10-23,3.29198566421202
2021-10-24,2.521072581492348
2021-10-25,2.2762211027859274
2021-10-26,2.137165827089446
2021-10-27,1.738291036983751
2021-10-28,2.81413494440448
2021-10-29,2.2147678749700264
2021-10-30,2.088159239560853
2021-10-31,2.5036194296706396
2021-11-01,2.492297905586313
2021-11-02,6.119223429189736
2021-11-16,4.589417571892302
2021-11-17,3.442063178919226
2021-11-18,2.5815473841894194
2021-11-19,2.581993871475398
2021-11-20,4.384412070273215
2021-11-21,4.8820590527049115
2021-11-22,3.932377622862017
2021-11-23,3.8892832171465126
2021-11-24,3.594045746193218
2021-11-25,3.7267843096449136
2021-11-26,3.9617548989003524
2021-11-27,4.023399507508597
2021-11-28,3.3092162972981143
2021-11-29,3.127745556306919
2021-11-30,3.45580916723019
2021-12-01,4.25852354208931
2021-12-02,3.5897259899003156
2021-12-03,3.49437782575857
2021-12-04,2.6207833693189273
2021-12-05,1.9655875269891954
2021-12-06,1.4741906452418962
2021-12-07,1.1056429839314221
2021-12-08,0.8292322379485666
2021-12-09,0.6219241784614249
2021-12-10,0.518526467179402
2021-12-11,0.5243115170512181
2021-12-12,3.164066971121748
2021-12-13,3.164716895007978
2021-12-14,3.0635376712559834
2021-12-15,4.026819920108655
2021-12-16,3.051364940081491
2021-12-17,3.1947737050611185
2021-12-18,2.6148302787958384
2021-12-19,2.0236227090968786
2021-12-20,2.3823003651559924
2021-12-21,2.786725273866994
2021-12-22,3.5379606220669126
2021-12-23,3.1847204665501847
2021-12-24,3.1802070165793053
2021-12-25,4.718488595767813
2021-12-26,4.6638664468258595
2021-12-27,5.466649835119394
2021-12-28,4.869987376339545
2021-12-29,3.652490532254659
2021-12-30,3.1039512325243277
2021-12-31,3.171713424393246
2022-01-01,4.441285068294935
2022-01-02,5.122630467887868
2022-01-03,4.248222850915901
