date,Pizza
2021-06-01,0.0
2021-06-02,0.0
2021-06-03,0.0
2021-06-04,0.0
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,0.0
2021-06-08,1.1691281616504168
2021-06-09,1.9568232966676427
2021-06-10,3.061050380636405
2021-06-11,3.9695761621133223
2021-06-12,5.45119782425482
2021-06-13,5.762459767010604
2021-06-14,5.229006448426435
2021-06-15,5.059489503232161
2021-06-16,4.886634673339354
2021-06-17,4.5268548928617305
2021-06-18,6.280025034685828
2021-06-19,6.251565106060454
2021-06-20,5.864529791869522
2021-06-21,5.157131528204321
2021-06-22,3.865544704903992
2021-06-23,2.897863912055327
2021-06-24,2.1726702810776346
2021-06-25,1.6290936457673117
2021-06-26,1.2215902363067566
2021-06-27,0.9160633459573403
2021-06-28,0.6869747785965503
2021-06-29,3.4846472362075342
2021-06-30,5.697213885265813
2021-07-01,6.793890632402002
2021-07-02,5.699474704233436
2021-07-03,4.274498671450762
2021-07-04,3.205813618084729
2021-07-05,2.4043262478375436
2021-07-06,1.803225580629603
2021-07-07,1.3524084389691444
2021-07-08,1.0143002844029467
2021-07-09,0.7607218131242213
2021-07-10,0.5705394472580073
2021-07-11,0.42790350962066503
2021-07-12,0.32092702706781356
2021-07-13,0.24069492990641048
2021-07-14,0.18052100595840376
2021-07-15,0.13539064676633794
2021-07-16,1.5077954414818462
2021-07-17,3.7662662795314046
2021-07-18,5.730951687682144
2021-07-19,6.94404801509857
2021-07-20,5.678035294353506
2021-07-21,4.258525867840933
2021-07-22,3.1938940617359224
2021-07-23,3.3641705869838896
2021-07-24,5.481461652963792
2021-07-25,6.256929677271933
2021-07-26,7.838530750701739
2021-07-27,5.8788979148882206
2021-07-28,4.409173352838498
2021-07-29,3.3068799677570615
2021-07-30,4.4905766802344
2021-07-31,7.576265917314722
2021-08-01,9.400949470719048
2021-08-02,9.800712108417795
2021-08-03,7.3505340565893595
2021-08-04,5.512900528534777
2021-08-05,4.134675388578259
2021-08-06,3.101006537033356
2021-08-07,2.3257549002998266
2021-08-08,1.7443161738325754
2021-08-09,1.3082371295912658
2021-08-10,3.5020111834816743
2021-08-11,6.26192505706601
2021-08-12,8.404777127756386
2021-08-13,9.074416179531141
2021-08-14,11.087062135506109
2021-08-15,12.638213268792054
2021-08-16,12.426576618209971
2021-08-17,10.259932463267926
2021-08-18,10.455366014143966
2021-08-19,9.049857843799161
2021-08-20,6.98531004935944
2021-08-21,5.2389825369202345
2021-08-22,3.929236902634294
2021-08-23,2.946927676944287
2021-08-24,3.2101957577145335
2021-08-25,2.4180634849383082
2021-08-26,1.834380947029185
2021-08-27,1.407035710267562
2021-08-28,1.0969434493649834
2021-08-29,0.8331242536889018
2021-08-30,0.6560931902659202
2021-08-31,4.492069892711729
2021-09-01,8.504469086210104
2021-09-02,12.628351814665008
2021-09-03,11.752513860997572
2021-09-04,8.814385395745202
2021-09-05,6.610789046807226
2021-09-06,4.958091785104477
2021-09-07,3.7185688388278275
2021-09-08,2.7889266291205725
2021-09-09,2.0916949718402615
2021-09-10,1.568771228880102
2021-09-11,1.1765784216600232
2021-09-12,0.8824338162449876
2021-09-13,0.6618253621837239
