date,Montagna
2021-06-01,2.3333333333333335
2021-06-02,3.976190476190476
2021-06-03,3.518018018018018
2021-06-04,4.105714285714286
2021-06-05,3.593043107127614
2021-06-06,3.501386001386001
2021-06-07,2.8518348946960623
2021-06-08,3.581972361169987
2021-06-09,3.5147664710338296
2021-06-10,4.393916197671547
2021-06-11,4.269342424671644
2021-06-12,5.565996764492101
2021-06-13,7.341683020567907
2021-06-14,7.010782972233699
2021-06-15,6.01477714412546
2021-06-16,5.106142648519879
2021-06-17,4.764539171218115
2021-06-18,3.870447079720138
2021-06-19,4.195877990308712
2021-06-20,6.194914527932679
2021-06-21,5.968564208990818
2021-06-22,6.3571162584984044
2021-06-23,6.549344367217255
2021-06-24,5.483855840185252
2021-06-25,4.935395806795413
2021-06-26,5.2016971576011475
2021-06-27,4.734408395539902
2021-06-28,5.071746727916243
2021-06-29,4.943779575748506
2021-06-30,5.207881845746774
2021-07-01,5.4476101593642365
2021-07-02,6.606657381961546
2021-07-03,4.954868591828099
2021-07-04,3.7160814468358874
2021-07-05,2.7870217130924604
2021-07-06,3.90030166905934
2021-07-07,3.425214926756797
2021-07-08,3.3189092944957865
2021-07-09,3.051678387631343
2021-07-10,5.195030345525002
2021-07-11,4.594184893970329
2021-07-12,4.435221104580082
2021-07-13,3.3264111241735943
2021-07-14,2.4948056969896695
2021-07-15,1.8711027842909687
2021-07-16,2.0699941108717472
2021-07-17,3.3545806409059207
2021-07-18,4.120102918069386
2021-07-19,6.662995775345766
2021-07-20,4.997245888159089
2021-07-21,3.7479338854849846
2021-07-22,2.8109501156320005
2021-07-23,3.066545981123518
2021-07-24,4.7061597796412835
2021-07-25,5.977536672258966
2021-07-26,7.118569285869092
2021-07-27,6.678926931167136
2021-07-28,5.009195103708049
2021-07-29,3.756896274530681
2021-07-30,3.546838865865618
2021-07-31,5.410129193966645
2021-08-01,6.109680241357567
2021-08-02,5.571843507115316
2021-08-03,4.178882616280551
2021-08-10,6.332078645172505
2021-08-11,6.696975652617206
2021-08-12,7.751898410620386
2021-08-13,9.032673812054496
2021-08-14,9.462005360068936
2021-08-15,9.502754020124884
2021-08-16,10.0333155158083
2021-08-17,7.52498663432229
2021-08-24,6.904156641938009
2021-08-25,5.4489508139599305
2021-08-26,5.649213110555296
2021-08-27,4.861909832664821
2021-08-28,4.146432374327096
2021-08-29,4.318157614109531
2021-08-30,3.624034877155214
2021-08-31,4.688026157974018
2021-09-01,3.974352951759714
2021-09-02,5.137014713885927
2021-09-03,4.352761035380984
2021-09-04,3.264570776500916
2021-09-05,2.4484280823560995
2021-09-06,1.836321061756057
2021-09-07,1.377240796310845
2021-10-19,1.2308472638983183
2021-10-20,2.2877187812650974
2021-10-21,2.1012057526144274
2021-10-22,1.836320981126356
2021-10-23,1.7209907358443974
2021-10-24,1.6136597185497068
2021-10-25,1.4289947889119474
2021-10-26,2.2917460916851264
2021-10-27,2.3125595687638656
2021-10-28,2.015669676572674
2021-10-29,1.803418924096051
2021-10-30,2.1129808597388373
2021-10-31,2.522235644804259
2021-11-01,2.5583434002698695
2021-11-02,1.9187575502022867
2021-11-09,2.0119848293183944
2021-11-10,2.0089886219887956
2021-11-11,2.1004914664916035
2021-11-12,2.2524519332020443
2021-11-13,2.616422283234882
2021-11-14,3.951900045759538
2021-11-15,3.7660083676529825
2021-11-16,2.82450627573972
2021-11-23,2.6392130401381206
2021-11-24,2.4585764467702553
2021-11-25,3.2501823350776977
2021-11-26,3.0938867513082724
2021-11-27,2.903748396814537
2021-11-28,2.8757279642775693
2021-11-29,3.6047126398748457
2021-11-30,3.3135344799061337
2021-12-01,3.568484193262934
2021-12-02,4.436779811613868
2021-12-03,4.400501525377068
2021-12-04,3.3003761440328003
2021-12-05,2.4752821080245995
2021-12-06,1.8564615810184495
2021-12-07,1.3923461857638368
2021-12-28,2.596342972656211
2021-12-29,3.2285072294921586
2021-12-30,3.0463804221191193
2021-12-31,2.753535316589339
2022-01-01,2.5651514874420043
2022-01-02,2.4134469489148365
2022-01-03,2.6434185450194607
2022-01-04,3.482563908764596
2022-01-11,3.6952562649067806
2022-01-12,3.594358865346752
2022-01-13,3.0291024823433976
2022-01-14,3.5530768617575483
2022-01-15,2.664807646318161
2022-01-16,1.9986057347386206
2022-01-17,1.4989543010539652
2022-01-18,1.124215725790474
2022-01-25,1.103578461009522
2022-01-26,0.8276838457571415
2022-01-27,0.6207628843178561
2022-01-28,0.6739054965717254
2022-01-29,1.6512624557621276
2022-01-30,3.707196841821596
2022-01-31,5.165814298032864
2022-02-01,3.874360723524648
2022-02-02,2.9057705426434857
2022-02-03,2.179327906982614
2022-02-04,1.7803292635702939
2022-02-05,1.7831636143443872
2022-02-06,1.6186227107582905
2022-02-07,2.9223003664020513
2022-02-08,9.19172527480154
2022-02-15,7.987543956101154
2022-02-16,6.959407967075866
2022-02-17,7.584139308640234
2022-02-18,7.031854481480176
2022-02-19,5.273890861110131
2022-02-20,3.9554181458325983
2022-02-21,2.9665636093744485
2022-02-22,2.2249227070308364
2022-03-01,1.6686920302731272
2022-03-02,1.2515190227048452
2022-03-03,0.9386392670286338
2022-03-04,0.9852294502714753
2022-03-05,1.7493387543702736
2022-03-06,2.541170732444372
2022-03-07,3.572544715999946
2022-03-08,3.95940853699996
2022-03-09,3.9591397360833036
2022-03-10,4.219354802062478
2022-03-11,3.497849434880192
2022-03-12,2.6233870761601437
2022-03-13,1.9675403071201076
2022-03-14,1.4756552303400805
2022-03-15,1.1067414227550603
2022-04-05,2.5383894003996286
