date,Previsioni del tempo
2021-06-01,1.25
2021-06-02,4.583333333333333
2021-06-03,3.934684684684685
2021-06-04,4.034761904761904
2021-06-05,3.8867904396073407
2021-06-06,4.111300861300862
2021-06-07,3.418016717146816
2021-06-08,2.7462611275964397
2021-06-09,2.1728948160735135
2021-06-10,1.7849053975620006
2021-06-11,4.505674431776836
2021-06-12,5.838129816316346
2021-06-13,4.823236268266003
2021-06-14,4.942468338698685
2021-06-15,3.87255348864108
2021-06-16,4.504498849372322
2021-06-17,3.5902517905090576
2021-06-18,3.5570851925503795
2021-06-19,2.915099397053711
2021-06-20,2.946841876587017
2021-06-21,3.336057120461405
2021-06-22,3.572464545498465
2021-06-23,2.8763337537044853
2021-06-24,2.5631861056597294
2021-06-25,3.4126121425854135
2021-06-26,2.9341890813303233
2021-06-27,4.430441849982865
2021-06-28,3.614238926644388
2021-06-29,3.400628332281393
2021-06-30,2.748271416616175
2021-07-01,3.20709834949999
2021-07-02,3.0407237160561515
2021-07-03,2.280485511213262
2021-07-04,1.710331917172197
2021-07-05,1.2827308168427454
2021-07-06,1.052040780431772
2021-07-07,2.611984437664537
2021-07-08,2.292315946429015
2021-07-09,2.06298388475855
2021-07-10,2.036820983792804
2021-07-11,3.163040898956136
2021-07-12,2.4451932801424308
2021-07-13,2.503895209156911
2021-07-14,1.8779194150337397
2021-07-15,1.4084384408707913
2021-07-16,1.3688287597574642
2021-07-17,2.3807895949329696
2021-07-18,3.0147595011435273
2021-07-19,2.4277358492653693
2021-07-20,3.36080241536483
2021-07-21,2.5206014546556226
2021-07-22,1.8904508902535169
2021-07-23,1.8865881667672675
2021-07-24,3.258691370939484
2021-07-25,3.391935212778024
2021-07-26,3.200201390258074
2021-07-27,2.4001509822138924
2021-07-28,1.8001132026406101
2021-07-29,1.3500848828443155
2021-07-30,1.2104803243476958
2021-07-31,1.56411025171913
2021-08-01,2.537666039587302
2021-08-02,2.2574161925865908
2021-08-03,1.6930621387452214
2021-08-04,1.2697966008556352
2021-08-05,0.9523474488398809
2021-08-06,0.7142605856163726
2021-08-07,1.80652877603296
2021-08-08,1.6153132482335082
2021-08-09,1.3573182690451246
2021-08-10,2.6879887035761825
2021-08-11,2.9639081946275394
2021-08-12,3.95209781338603
2021-08-13,3.870323359993055
2021-08-14,4.486075853590547
2021-08-15,7.395806891122966
2021-08-16,6.88018850155195
2021-08-17,6.360141376070461
2021-08-18,4.9992726985360045
2021-08-19,4.593204523860936
