date,Traffico
2021-06-01,2.0
2021-06-02,5.0
2021-06-03,3.576576576576577
2021-06-04,3.9752380952380957
2021-06-05,2.972684592402903
2021-06-06,4.4002574002574
2021-06-07,3.960202859759104
2021-06-08,2.8600084781687154
2021-06-22,3.4384375219107404
2021-06-23,3.7086267816172103
2021-06-24,5.035424223316804
2021-06-25,4.854159702035348
2021-06-26,4.229957097107139
2021-06-27,4.595650393643609
2021-06-28,4.075199435816755
2021-06-29,4.702688647574279
2021-06-30,6.288940254651415
2021-07-01,6.960072171517209
2021-07-02,6.614425972165867
2021-07-03,4.9555588599329825
2021-07-04,3.7137155336628216
2021-07-05,2.7836275530611734
2021-07-06,3.058087852890391
2021-07-07,3.8047317322904886
2021-07-08,3.791038494461317
2021-07-09,4.572886818643886
2021-07-10,5.0027637500028685
2021-07-11,4.6165335257452895
2021-07-12,5.014578255855479
2021-07-13,3.760709773437221
2021-07-14,2.8204063890700852
2021-07-15,2.1152339555210626
2021-07-16,1.909326620388998
2021-07-17,2.7445421587193377
2021-07-18,3.8917885708024427
2021-07-19,4.283437209507505
2021-07-20,3.2125523795585025
2021-07-21,2.4093999256092307
2021-07-22,1.8070418673201083
2021-07-23,2.0427837712486143
2021-07-24,2.4800077928385833
2021-07-25,3.953764181417041
2021-07-26,3.892406209077439
2021-07-27,2.919301560421785
2021-07-28,2.189474428602281
2021-07-29,1.642104841738917
2021-07-30,3.554497865152092
2021-07-31,8.999212213903446
2021-08-01,10.54107699134947
2021-08-02,9.562057189071988
2021-08-03,7.171541876453547
2021-08-04,5.378655836205676
2021-08-05,4.03399155589117
2021-08-06,3.9734103227296313
2021-08-07,7.552974889774378
2021-08-08,8.685564614821331
2021-08-09,7.9100067358211765
2021-08-10,5.9325049397492196
2021-08-17,6.970212082270718
2021-08-18,6.092242367036545
2021-08-19,6.110848442389107
2021-08-20,5.666469657153451
2021-08-21,4.249852223805559
2021-08-22,3.187389157133184
2021-08-23,2.390541861819334
2021-08-24,3.672906403643218
2021-08-25,2.754679798823514
2021-08-26,2.0972598470186528
2021-08-27,1.583361550700092
2021-08-28,1.1979378289995433
2021-08-29,0.9088700380269658
2021-08-30,0.6816525282906872
2021-08-31,0.5112393960889008
2021-09-07,0.38342954699404863
2021-09-08,0.2875721602046838
2021-09-09,0.21567912013053323
2021-09-10,0.5471760068440354
2021-09-11,0.8999653385297898
2021-09-12,3.0291406708511204
2021-09-13,2.532272169754756
2021-09-14,1.899204127268048
2021-09-15,1.4244030954240254
2021-09-16,1.0683023215528256
2021-09-17,1.7387267411860725
2021-09-18,2.241545055901622
2021-09-19,3.681158791952129
2021-09-20,3.344202427292881
2021-09-21,2.508151820461196
2021-09-28,1.8811138653411354
2021-09-29,1.4108353990031735
2021-09-30,1.0581265492508736
2021-10-01,1.762344911940411
2021-10-02,4.134258683961007
2021-10-03,4.694444012971765
2021-10-04,4.447916343061824
2021-10-05,3.3359372572952406
2021-10-19,2.7519529429709864
2021-10-20,3.001464707228382
2021-10-21,4.188598530421794
2021-10-22,4.641448897816491
2021-10-23,3.8560866733621793
2021-10-24,3.496231671688236
2021-10-25,3.090923753766122
2021-10-26,2.318192815324513
2021-11-30,4.030311278160182
2021-12-01,3.897733458620129
2021-12-02,3.8503834272984285
2021-12-03,3.1586209038071327
2021-12-04,2.3689656778553303
2021-12-05,1.776724258391487
2021-12-06,1.3325431937936092
2021-12-07,0.9994073953452035
2021-12-08,0.7495555465089008
2021-12-09,0.5621666598816745
2021-12-10,0.8695416615779239
2021-12-11,2.6521562461834485
2021-12-12,4.093283851304256
2021-12-13,4.840796221811527
2021-12-14,4.150597166358644
2021-12-15,3.529614541435649
2021-12-16,3.0951275727434027
2021-12-17,3.6963456795575524
2021-12-18,4.178509259668164
2021-12-19,5.17554861141779
2021-12-20,4.214994791896675
2021-12-21,3.1612460939225064
2021-12-28,2.9021845704418796
2021-12-29,2.634971761164743
2021-12-30,4.3928954875402235
2021-12-31,3.805088282321834
2022-01-01,3.5413162117413757
2022-01-02,2.916403825472698
2022-01-03,2.4685528691045233
2022-01-04,3.611414651828393
2022-01-05,2.812727655537961
2022-01-06,4.849129074986805
2022-01-07,3.92851347290677
2022-01-08,3.123468438013411
2022-01-09,2.5509346618433915
2022-01-10,2.621534329715877
2022-01-11,2.9661507472869073
2022-01-12,3.7871130604651806
2022-01-13,3.288251462015552
2022-01-14,3.809938596511664
2022-01-15,2.8574539473837475
2022-01-16,2.1430904605378105
2022-01-17,1.6073178454033579
2022-01-18,1.2054883840525183
2022-01-19,1.9770329547060557
2022-01-20,1.628608049362875
2022-01-21,2.6172893703554894
2022-01-22,2.2025503610999504
2022-01-23,3.3394127708249632
2022-01-24,2.7753929114520557
2022-01-25,2.0815446835890414
2022-01-26,1.561158512691781
2022-01-27,1.1708688845188358
2022-01-28,1.4823183300557934
2022-01-29,2.2575720808751787
2022-01-30,5.578595727323051
2022-01-31,5.652696795492288
2022-02-01,4.239522596619215
2022-02-08,3.1796419474644115
2022-02-09,2.3847314605983083
2022-02-10,1.7885485954487312
2022-02-11,1.6643281132532153
2022-02-12,1.5294960849399115
2022-02-13,3.2200387303716007
2022-02-14,2.7691957144453667
2022-02-15,2.256896785834025
2022-02-16,2.1614225893755186
2022-02-17,2.0169002753649723
2022-02-18,2.762675206523729
2022-02-19,2.0720064048927966
2022-02-20,1.5540048036695975
2022-02-21,1.1655036027521979
2022-02-22,0.8741277020641484
2022-03-01,0.6555957765481112
2022-03-02,0.49169683241108336
2022-03-03,0.3687726243083125
