date,Neve
2021-06-01,1.75
2021-06-02,1.1071428571428572
2021-06-03,1.6193693693693694
2021-06-04,1.971904761904762
2021-06-05,2.513764404609475
2021-06-06,2.3955301455301456
2021-06-07,3.7600373318306684
2021-06-08,4.048952098346757
2021-06-09,3.416294510594831
2021-06-10,3.3170486673599267
2021-06-11,2.516474125855673
2021-06-12,2.1787407669583834
2021-06-13,2.2183294267960045
2021-06-14,2.8415176725287887
2021-06-15,2.4357153306226986
2021-06-16,3.7777370390485245
2021-06-17,4.547421791974259
2021-06-18,4.294557434702989
2021-06-19,4.032309216453004
2021-06-20,4.598945502762598
2021-06-21,4.302671132122585
2021-06-22,3.5055814952447006
2021-06-23,5.079208072342307
2021-06-24,3.922829087002628
2021-06-25,3.4313352781347124
2021-06-26,3.3755533081669307
2021-06-27,3.0732036614644684
2021-06-28,3.284136379530667
2021-06-29,4.08329257129213
2021-06-30,3.510283766025634
2021-07-01,4.653699303004953
2021-07-02,4.083967246286607
2021-07-03,3.0628985080912705
2021-07-04,2.297130611744419
2021-07-05,1.7228236206158154
2021-07-06,2.6921485242668166
2021-07-07,3.1962067421883074
2021-07-08,3.136737326758136
2021-07-09,2.998384473258931
2021-07-10,2.780036159105782
2021-07-11,3.07461267448803
2021-07-12,3.9309643501011466
2021-07-13,2.948219093159345
2021-07-14,2.2111619745785234
2021-07-15,1.658370161710162
2021-07-16,2.2854454103237467
2021-07-17,2.9015848848435577
2021-07-18,2.8532719483248243
2021-07-19,2.348286913265003
2021-07-20,1.7612148524771303
2021-07-21,1.3209109523426221
2021-07-22,0.9906831090609283
2021-07-23,0.9617623248860306
2021-07-24,1.054655093643099
2021-07-25,2.9264082384453625
2021-07-26,2.3927227917088842
2021-07-27,1.7945420485623
2021-07-28,1.3459065109858344
2021-07-29,1.0094298689316876
2021-07-30,1.1112390716122869
2021-07-31,3.125096018544666
2021-08-01,3.4479886863675393
2021-08-02,2.9609915082234712
2021-08-03,2.2207436236979916
2021-08-04,1.6655577135718371
2021-08-05,1.249168282815446
2021-08-06,1.353542879222575
2021-08-07,3.4422404994189693
2021-08-08,3.8941803756464277
2021-08-09,3.118551947008516
2021-08-10,2.518913959448708
2021-08-11,2.7225188031255474
2021-08-12,3.4585557695684903
2021-08-13,3.0314168269336492
2021-08-14,2.78397928676145
2021-08-15,2.5671511316684477
2021-08-16,3.862863349061953
2021-08-17,4.317147511878143
2021-08-18,5.1545273006881915
2021-08-19,4.542978808787629
2021-08-20,4.198900773231289
2021-08-21,3.14917557986375
2021-08-22,2.3618816848642217
2021-08-23,1.7714112636292714
2021-08-24,2.128558447730525
2021-08-25,1.648502169122586
2021-08-26,1.7676266268435477
2021-08-27,1.742386636799072
2021-08-28,2.317206644270336
2021-08-29,2.3004049832026565
2021-08-30,3.1315537374055427
2021-08-31,3.2586653030545643
2021-09-01,4.152332310626403
2021-09-02,4.541332566303836
2021-09-03,3.551832758059873
2021-09-04,2.6638745685440046
2021-09-05,1.9979059264074972
2021-09-06,1.4984294448053381
2021-09-07,1.1238220836038433
2021-09-08,0.8428665627027924
2021-09-09,0.6321499220270436
2021-09-10,0.5886957748536082
2021-09-11,1.4311051644736534
2021-09-12,2.937912206688726
2021-09-13,4.036767488349962
2021-09-14,3.0275756162624137
2021-09-15,2.2706817121967777
2021-09-16,1.703011284147565
2021-09-17,1.4230917964440002
2021-09-18,2.7548188473330244
2021-09-19,3.5661141354997796
2021-09-20,4.37250226829151
2021-09-21,3.6893767012186274
2021-09-22,3.3711991925806353
2021-09-23,4.070066061102146
2021-09-24,3.7087995458266083
2021-09-25,3.0003496593699546
2021-09-26,2.677345577860799
2021-09-27,2.6121758500622656
2021-09-28,1.9591318875466985
2021-09-29,1.4693489156600235
2021-09-30,1.1020116867450174
2021-10-01,0.8265087650587629
2021-10-02,0.6198815737940722
2021-10-03,0.4649111803455541
2021-10-04,0.34868338525916553
2021-10-05,0.26151253894437415
2021-10-06,0.1961344042082806
2021-10-07,0.14710080315621044
2021-10-08,0.23532560236715785
2021-10-09,1.9369108684420355
2021-10-10,2.390183151331527
2021-10-11,3.3655540301653124
2021-10-12,4.034165522623985
2021-10-13,3.286040808634655
2021-10-14,4.016613939809325
2021-10-15,3.8353771215236603
2021-10-16,3.584866174476079
2021-10-17,3.771982964190393
2021-10-18,4.693570556476128
2021-10-19,4.720177917357096
2021-10-20,3.779716771351155
2021-10-21,2.9077042451800326
2021-10-22,2.4828615172183577
2021-10-23,2.237146137913768
2021-10-24,2.0736929367686594
2021-10-25,1.8990197025764946
2021-10-26,3.4042647769323713
2021-10-27,3.094865249365945
2021-10-28,2.4148989370244585
