date,Natale
2021-06-01,0.7916666666666666
2021-06-02,2.172619047619048
2021-06-03,2.6385135135135136
2021-06-04,2.420238095238095
2021-06-05,2.7331946222791292
2021-06-06,2.3581452331452333
2021-06-07,3.2886495973327694
2021-06-08,4.264147096227214
2021-06-09,3.3818644029349043
2021-06-10,3.1923952976186256
2021-06-11,2.522242477702514
2021-06-12,2.871494900981947
2021-06-13,2.7550207348879483
2021-06-14,2.562841308130728
2021-06-15,3.261467038810681
2021-06-16,4.373916577804764
2021-06-17,4.164278259933743
2021-06-18,3.703946813029795
2021-06-19,4.918512302546978
2021-06-20,4.134314034667309
2021-06-21,5.113481052269471
2021-06-22,4.1233445771083
2021-06-23,3.7586872408438867
2021-06-24,3.1100312415277354
2021-06-25,4.093680336504023
2021-06-26,5.748277452888226
2021-06-27,6.259341092482096
2021-06-28,6.10070545583523
2021-06-29,5.7554468825462
2021-06-30,6.118733371703547
2021-07-01,7.245450937461103
2021-07-02,6.569436962518891
2021-07-03,4.926953978339194
2021-07-04,3.6951458810667366
2021-07-05,2.7713202605787703
2021-07-06,2.24847357739257
2021-07-07,3.0822083908077538
2021-07-08,3.259576130819206
2021-07-09,2.757175361532909
2021-07-10,3.5887232170148393
2021-07-11,3.0665384742146276
2021-07-12,3.0811539383381543
2021-07-13,2.8908646464281054
2021-07-14,2.1681461851552197
2021-07-15,1.62610834530677
2021-07-16,1.5841645172399943
2021-07-17,2.3443744084297284
2021-07-18,2.1332805937942987
2021-07-19,2.860377661040145
2021-07-20,2.1452828408064257
2021-07-21,1.6089619028071978
2021-07-22,1.206721298969268
2021-07-23,1.4883743748519778
2021-07-24,2.6371143203123983
2021-07-25,4.5195026598766095
2021-07-26,4.379210314100291
2021-07-27,3.284407652813813
2021-07-28,2.4633056930570714
2021-07-29,1.8474792436065797
2021-07-30,1.7189427619390387
2021-07-31,1.7579570723874496
2021-08-01,3.610134504183472
2021-08-02,3.020100870199142
2021-08-03,2.2650756450306306
2021-08-04,1.6988067294874398
2021-08-05,1.2741050447049675
2021-08-06,1.476412117723282
2021-08-07,2.6802257588026133
2021-08-08,3.5830859879305867
2021-08-09,4.416481159111322
2021-08-10,4.292360869166308
2021-08-11,4.885937319141034
2021-08-12,6.799869657472545
2021-08-13,6.329068909503547
2021-08-14,6.569718348896887
2021-08-15,5.979372094817303
2021-08-16,6.2241124045049805
2021-08-17,6.898084303499912
2021-08-18,5.944396560829666
2021-08-19,4.916630753851639
2021-08-20,4.864556398718113
2021-08-21,3.6484172989694006
2021-08-22,2.7363129741881345
2021-08-23,2.0522347306192104
2021-08-24,1.5391760479520946
2021-08-25,1.1543820359571448
2021-08-26,0.8657865269639626
2021-08-27,0.6493398952207805
2021-08-28,0.48700492141435264
2021-08-29,0.3652536910600711
2021-08-30,0.2739402682946633
2021-08-31,2.2887885345607857
2021-09-01,3.789508067590862
2021-09-02,5.185881050695663
2021-09-03,4.681077454687731
2021-09-04,3.5108080910146118
2021-09-05,2.6331060682602914
2021-09-06,1.974829551194843
2021-09-07,1.4811221633959213
2021-09-08,1.1108416225468223
2021-09-09,0.8331312169100499
2021-09-10,1.6665150793493546
2021-09-11,1.8123863095120358
2021-09-12,4.848873065467668
2021-09-13,5.324154799100787
2021-09-14,3.9931160993255146
2021-09-15,2.994837074494093
2021-09-16,2.246127805870546
2021-09-17,4.684595854402969
2021-09-18,5.388446890802239
2021-09-19,5.3538351681016785
2021-09-20,6.182043042742934
2021-09-21,4.636532282057188
2021-09-22,3.4773992115428842
2021-09-23,2.608049408657159
2021-09-24,1.956037056492867
2021-09-25,1.467027792369649
2021-09-26,1.1002708442772362
2021-09-27,0.8252031332079268
2021-09-28,0.618902349905945
2021-09-29,0.46417676242945854
2021-09-30,0.34813257182209384
2021-10-01,0.26109942886657034
2021-10-02,0.19582457164992773
2021-10-03,0.14686842873744577
2021-10-04,0.11015132155308432
2021-10-05,0.08261349116481323
2021-10-06,0.061960118373609915
2021-10-07,0.04647008878020743
2021-10-08,0.24318589991848896
2021-10-09,0.7969727582722003
2021-10-10,2.649812902037484
2021-10-11,3.174859676528113
2021-10-12,3.981144757396085
2021-10-13,4.412941901380397
2021-10-14,5.195123092701964
2021-10-15,5.0005089861931395
2021-10-16,6.271215072978189
2021-10-17,7.297161304733642
2021-10-18,6.4937043118835645
2021-10-19,6.360278233912674
2021-10-20,5.801458675434505
2021-10-21,5.653177339909211
2021-10-22,5.812799671598575
2021-10-23,5.370016420365598
2021-10-24,6.4441789819408655
2021-10-25,6.895634236455649
2021-10-26,8.271725677341736
2021-10-27,7.182960924672969
2021-10-28,8.293470693504727
2021-10-29,8.001353020128546
2021-10-30,7.667681431763076
2021-10-31,7.927844407155641
2021-11-01,8.393799972033397
2021-11-02,6.295349979025048
2021-11-03,4.721512484268785
2021-11-04,3.5411343632015884
2021-11-05,2.655850772401191
2021-11-06,1.991888079300893
2021-11-07,1.4939160594756695
2021-11-08,1.120437044606752
2021-11-09,4.309077783455065
2021-11-10,6.2943083375913
2021-11-11,8.168647919860142
2021-11-12,11.188985939895106
2021-11-13,11.370906121587995
2021-11-14,12.913596257857662
2021-11-15,13.820613860059915
2021-11-16,12.615460395044936
2021-11-17,9.4615952962837
2021-11-18,7.0961964722127755
2021-11-19,5.322147354159581
2021-11-20,3.9916105156196853
