date,Mare
2021-06-01,16.208333333333332
2021-06-02,17.755952380952383
2021-06-03,18.76238738738739
2021-06-04,19.611190476190476
2021-06-05,18.20897353819889
2021-06-06,19.539340164340164
2021-06-07,19.852565682890752
2021-06-08,19.771287240356084
2021-06-09,19.49523838885429
2021-06-10,19.31988750012211
2021-06-11,19.051496772883578
2021-06-12,20.866963268808863
2021-06-13,23.08841472707054
2021-06-14,23.649220113185077
2021-06-15,22.673881181098174
2021-06-16,23.482262969708692
2021-06-17,23.098395045845955
2021-06-18,22.916520930846925
2021-06-19,23.073470994020735
2021-06-20,23.650683709369773
2021-06-21,23.143055434392718
2021-06-22,20.3923849112428
2021-06-23,18.45836791572017
2021-06-24,17.008988308601147
2021-06-25,16.193627637111486
2021-06-26,15.540685535686707
2021-06-27,17.072829383648433
2021-06-28,16.58571738977541
2021-06-29,15.609055489900266
2021-06-30,14.779560151080473
2021-07-01,13.782453230898573
2021-07-02,12.513795816792609
2021-07-03,9.385111149621357
2021-07-04,7.038700779495972
2021-07-05,5.278951009300212
2021-07-06,9.819357568237116
2021-07-07,16.895936866482707
2021-07-08,21.04702686459995
2021-07-09,23.316550579994654
2021-07-10,28.27912950826027
2021-07-11,31.605205551253775
2021-07-12,31.84973888005693
2021-07-13,23.887270378299732
2021-07-14,17.91543378154141
2021-07-15,13.43656464744774
2021-07-16,13.98367446483365
2021-07-17,19.175262817772296
2021-07-18,23.56895153686891
2021-07-19,26.31213239068198
2021-07-20,19.734095567726776
2021-07-27,14.800569580323124
2021-07-28,11.100426006539658
2021-07-29,8.325318841884606
2021-07-30,8.775239212033656
2021-07-31,12.571013252475623
2021-08-01,14.553260139153501
2021-08-02,15.602445183678075
2021-08-03,12.421833707430253
2021-08-04,9.31637514852212
2021-08-05,6.987281287113146
2021-08-06,8.74046100726859
2021-08-07,12.794929161517896
2021-08-08,17.960780273974425
2021-08-09,20.84558523459049
2021-08-10,22.164188935922084
2021-08-11,25.08147505183345
2021-08-12,26.467356294774795
2021-08-13,27.881767225596967
2021-08-14,29.880075423982813
2021-08-15,31.264223237139603
2021-08-16,30.229417426460877
2021-08-17,27.892063067484443
2021-08-18,25.627380632230814
2021-08-19,22.56428547243253
2021-08-20,18.92321410277264
2021-08-21,14.192410575567344
2021-08-22,10.644307930824931
2021-08-23,7.983230947640249
2021-08-24,5.987423210461059
2021-08-31,8.917650741475475
2021-09-01,11.32365472295577
2021-09-02,12.784407708966594
2021-09-03,13.171639115074802
2021-09-04,9.87872933620073
