date,Partita calcio
2021-06-01,0.0
2021-06-02,0.0
2021-06-03,0.0
2021-06-04,0.2895238095238095
2021-06-05,0.3448570209133589
2021-06-06,1.6719136719136718
2021-06-07,1.586250616327393
2021-06-08,2.179033149639678
2021-06-09,2.6036576604072406
2021-06-10,2.0132450352542173
2021-06-11,1.6726312397880723
2021-06-12,1.5527596691037104
2021-06-13,2.9370397935525996
2021-06-14,2.4227835202884567
2021-06-15,3.227846062104642
2021-06-16,2.7915113400442575
2021-06-17,3.389797456620237
2021-06-18,3.1032325224375152
2021-06-19,3.265610973806278
2021-06-20,2.71830594344151
2021-06-21,2.7888973528212913
2021-06-22,2.09042707865022
2021-06-23,1.5671202002446307
2021-06-24,1.1749466466605196
2021-06-25,0.8809887689175181
2021-06-26,0.6606171972996987
2021-06-27,0.4953929576131266
2021-06-28,0.37150538647402254
2021-06-29,0.7162111175487821
2021-06-30,1.9748831144376295
2021-07-01,1.7728019364355252
2021-07-02,3.1005681629982256
2021-07-03,2.325367719174918
2021-07-04,1.7439929390960505
2021-07-05,1.3079762266457355
2021-07-06,2.2310115075302868
2021-07-07,2.4336801284948173
2021-07-08,1.8981671889373677
2021-07-09,3.173642494271065
2021-07-10,2.484391605859708
2021-07-11,4.467475328349201
2021-07-12,4.7985250356202025
2021-07-13,3.5988886871117494
2021-07-14,2.6991636524389837
2021-07-15,2.024371128953886
2021-07-16,1.7057777764791595
2021-07-17,1.8522501956494508
2021-07-18,3.6912728315874803
2021-07-19,3.2788709789544765
2021-07-20,2.4591527699916833
2021-07-21,1.844364316367751
2021-07-22,1.3832730903924682
2021-07-23,1.131204757570954
2021-07-24,2.1609037526876222
2021-07-25,2.9331779183022473
2021-07-26,2.34571671284799
2021-07-27,1.7592874903049833
2021-07-28,1.319465592792546
2021-07-29,0.9895991805678023
2021-07-30,0.8567827145234603
2021-07-31,1.9030037275834795
2021-08-01,1.6668361247843313
2021-08-02,2.4688771043791107
2021-08-03,1.8516578220561648
2021-08-04,1.3887433630387789
2021-08-05,1.0415575203084528
2021-08-06,0.7811681391228594
2021-08-07,0.5858761037186244
2021-08-08,0.43940707743823826
2021-08-09,0.3295553078813931
2021-08-10,0.288833147522861
2021-08-11,0.42495819411299374
2021-08-12,1.9437186467354437
2021-08-13,1.5411223181561438
2021-08-14,1.593341738639363
2021-08-15,1.2158396371921922
2021-08-16,2.6306297282333078
2021-08-17,4.072972296434307
2021-08-18,4.752645889084049
2021-08-19,3.8353177500535964
2021-08-20,3.074404979149148
2021-08-21,2.3058037343181366
2021-08-22,1.7293528007140075
2021-08-23,1.297014600521671
2021-08-24,1.972760950407471
2021-08-25,1.48998737946358
2021-08-26,1.1174905345926562
2021-08-27,0.8381179009416636
2021-08-28,0.6598384257048939
2021-08-29,0.505295485944457
2021-08-30,0.41022161445793665
2021-08-31,2.1176662108489226
2021-09-01,1.9736663248030126
2021-09-02,1.7927497436019335
2021-09-03,1.5008123077010556
2021-09-04,1.1256092307754113
2021-09-05,0.8442069230813445
2021-09-06,0.633155192310888
2021-09-07,0.4748663942330983
2021-09-08,0.35614979567478566
2021-09-09,0.2671123467560678
2021-09-10,0.29408426006705574
