date,Meteo
2021-06-01,17.333333333333332
2021-06-02,19.9047619047619
2021-06-03,19.063063063063062
2021-06-04,22.666666666666668
2021-06-05,27.323943661971832
2021-06-06,29.81051381051381
2021-06-07,31.355826348289543
2021-06-08,31.068060703688
2021-06-09,29.202648288453265
2021-06-10,26.841964480672754
2021-06-11,26.83971154060778
2021-06-12,23.85825877476862
2021-06-13,21.792534797834676
2021-06-14,20.562059893837958
2021-06-15,21.534540628762766
2021-06-16,22.146623463730467
2021-06-17,22.812892573932526
2021-06-18,23.81322568521457
2021-06-19,26.15105426377695
2021-06-20,30.575237386839262
2021-06-21,30.639915203761685
2021-06-22,33.10433244684965
2021-06-23,35.14347741550419
2021-06-24,36.08772217525061
2021-06-25,35.31521028266683
2021-06-26,33.33945924978072
2021-06-27,31.94150267435549
2021-06-28,31.9561316501632
2021-06-29,33.14738238568409
2021-06-30,33.26680811655971
2021-07-01,32.05411032950728
2021-07-02,29.394482247704797
2021-07-03,22.04530800399373
2021-07-04,16.533669570679493
2021-07-05,12.400077003106347
2021-07-06,13.200083179546331
2021-07-07,16.19180036737662
2021-07-08,22.19604095492233
2021-07-09,21.532438484758742
2021-07-10,21.84724869615143
2021-07-11,21.489600491240516
2021-07-12,23.117209575536908
2021-07-13,17.807884656194688
2021-07-14,13.355899326078287
2021-07-15,10.01691652616041
2021-07-16,12.002274281458329
2021-07-17,18.293380822891972
2021-07-18,22.376289727817394
2021-07-19,22.855134324103133
2021-07-20,17.41134766014307
2021-07-21,13.058508896277157
2021-07-22,9.79388063224117
2021-07-23,9.157910322236791
2021-07-24,14.160100304675236
2021-07-25,19.203409239614004
2021-07-26,23.152557327757336
2021-07-27,17.684417582454984
2021-07-28,13.263312936181794
2021-07-29,9.947484561140413
2021-07-30,10.908530118171221
2021-07-31,19.09806445117787
2021-08-01,24.750631773118165
2021-08-02,25.70880717606349
2021-08-03,19.63160532072446
2021-08-04,14.723703953400262
2021-08-05,11.042777944157214
2021-08-06,11.230000125581583
2021-08-07,18.630833451148586
2021-08-08,21.212708427877246
2021-08-09,20.76369798676821
2021-08-10,18.83277348747531
2021-08-11,17.54124678096844
2021-08-12,17.291351752203663
2021-08-13,18.228930481352187
2021-08-14,18.734197861229475
2021-08-15,20.363148396442778
2021-08-16,24.00152796487097
2021-08-17,24.511145973744856
2021-08-18,23.58127614684992
2021-08-19,24.081790443521392
2021-08-20,21.89467616580848
2021-08-21,16.421007124044973
2021-08-22,12.315755342858573
2021-08-23,9.236816507045406
2021-08-24,11.517612380338793
2021-08-25,16.138209285337265
2021-08-26,17.77032363069165
2021-08-27,21.7964927230595
2021-08-28,24.180702875646062
2021-08-29,22.79177715672664
2021-08-30,21.95841620087475
2021-08-31,24.90881215066552
2021-09-01,24.712859112998668
2021-09-02,24.70131100141565
2021-09-03,23.00514991772611
2021-09-04,17.253862438288756
2021-09-05,12.940396828713286
2021-09-06,9.70529762153312
2021-09-07,7.2789732161488025
2021-09-08,5.4592299121110175
2021-09-09,4.094422434082935
2021-09-10,4.831233492229001
2021-09-11,9.519258452505717
2021-09-12,11.087360506046112
2021-09-13,13.15927037953474
2021-09-14,10.179452784650886
2021-09-15,7.634589588488055
2021-09-16,5.72594219136598
2021-09-17,7.211123310191188
2021-09-18,14.929175815976865
2021-09-19,20.634381861982728
2021-09-20,22.017453063153727
2021-09-21,22.6830897973653
2021-09-22,21.491484014690638
2021-09-23,20.743613011017974
2021-09-24,20.29729309159681
2021-09-25,21.587553152030946
2021-09-26,24.805248197356548
2021-09-27,23.874769481350743
2021-09-28,18.13607711101305
2021-09-29,13.602057833259785
2021-09-30,10.201543374944837
2021-10-01,9.411574197875293
2021-10-02,13.142013981739803
2021-10-03,17.49192715297152
2021-10-04,20.931445364728642
2021-10-05,16.62858402354648
2021-10-06,12.47143801765986
2021-10-07,9.353578513244894
2021-10-08,9.411017218267004
2021-10-09,14.808262913700254
2021-10-10,17.57494718527519
2021-10-11,18.52496038895639
2021-10-12,20.92372029171729
2021-10-13,22.536540218787966
2021-10-14,23.808655164090972
2021-10-15,24.2419080397349
2021-10-16,23.86893102980117
2021-10-17,24.203781605684213
2021-10-18,25.350752870929828
2021-10-19,23.31306465319737
2021-10-20,22.724381823231358
2021-10-21,23.803703034090184
2021-10-22,22.217360608900968
2021-10-23,21.058853790009056
2021-10-24,20.273307009173458
2021-10-25,20.37164692354676
2021-10-26,21.298735192660068
2021-10-27,21.77613472782838
2021-10-28,23.082101045871283
2021-10-29,25.801159117736802
2021-10-30,29.496702671635937
2021-10-31,30.945443670393622
2021-11-01,32.792416086128554
2021-11-02,25.754312064596416
2021-11-03,19.31573404844731
2021-11-04,14.486800536335483
2021-11-05,10.865100402251612
2021-11-06,8.148825301688708
2021-11-07,6.111618976266531
2021-11-08,4.583714232199897
2021-11-09,8.017785674149923
2021-11-10,11.513339255612442
2021-11-11,14.010004441709333
2021-11-12,15.695003331281999
2021-11-13,18.781669165128168
2021-11-14,21.59666854051279
2021-11-15,23.124584738717925
2021-11-16,17.753438554038443
2021-11-17,13.315078915528831
2021-11-18,10.152975853313288
2021-11-19,9.281398556651633
2021-11-20,11.981882250822057
2021-11-21,14.882245021449876
2021-11-22,17.83876709942074
2021-11-23,18.859075324565556
2021-11-24,19.7276398267575
2021-11-25,22.77489653673479
2021-11-26,23.872839069217758
2021-11-27,25.25879596857999
2021-11-28,26.63159697643499
2021-11-29,25.879947732326244
2021-11-30,22.40996079924468
2021-12-01,16.807470599433508
2021-12-02,12.60560294957513
2021-12-03,9.454202212181347
