date,Partita milan
2021-06-01,0.875
2021-06-02,1.2083333333333333
2021-06-03,1.6047297297297298
2021-06-04,1.7340476190476188
2021-06-05,2.1216922748612888
2021-06-06,2.9337070587070593
2021-06-07,3.433686107393581
2021-06-08,3.857715387876219
2021-06-09,4.0763708871392375
2021-06-10,3.415919139481119
2021-06-11,2.8831894434297687
2021-06-12,2.1926000636062812
2021-06-13,1.6631210755945005
2021-06-14,1.3034318833677454
2021-06-15,0.973160341655371
2021-06-16,0.7274071715615243
2021-06-17,0.5441780551475108
2021-06-18,0.4073622133053707
2021-06-19,0.30508922086615636
2021-06-20,0.22857427052559032
2021-06-21,0.17129446809920698
2021-06-22,0.12839432551195573
2021-06-23,0.09625274335639125
2021-06-24,0.07216538847550663
2021-06-25,0.05411045423397891
2021-06-26,0.040575201275933045
2021-06-27,0.030427105210089494
2021-06-28,0.022817913146814826
2021-06-29,0.3192673556081971
2021-06-30,0.6770144039217878
2021-07-01,0.6119187509196768
2021-07-02,2.1257577986609206
2021-07-03,1.5942783076926241
2021-07-04,1.1956862085263988
2021-07-05,0.8967519880506648
2021-07-06,0.8725632222277002
2021-07-07,2.21695446404266
2021-07-08,2.2981339660561293
2021-07-09,2.702772566918829
2021-07-10,3.422920000746452
2021-07-11,4.598448866914453
2021-07-12,3.813415542719779
2021-07-13,2.8600576123026333
2021-07-14,2.1450409340679304
2021-07-15,1.6087794207763604
2021-07-16,1.2065838457100673
2021-07-17,0.9049374793548589
2021-07-18,0.678702881744496
2021-07-19,0.5090270331868952
2021-07-20,0.38177020282187246
2021-07-21,0.2863276115779995
2021-07-22,0.2147456858806526
2021-07-23,0.16105925158389037
2021-07-24,0.12079443147295679
2021-07-25,0.09059581954630247
2021-07-26,0.06794686237686853
2021-07-27,0.05096014549854366
2021-07-28,0.03822010840159718
2021-07-29,0.028665080894898207
2021-07-30,0.08399881243585283
2021-07-31,0.6150824553630385
2021-08-01,1.294645187046291
2021-08-02,2.3980672384637707
2021-08-03,1.7985504227982896
2021-08-04,1.348912813695852
2021-08-05,1.0116846083577773
2021-08-06,0.7587634551916451
2021-08-07,0.5690725907880969
2021-08-08,0.4268044427504019
2021-08-09,0.3201033318711741
2021-08-10,2.0317441678755324
2021-08-11,2.284224792828374
2021-08-12,2.2444185945911213
2021-08-13,2.3395639459974067
2021-08-14,3.2025896265325278
2021-08-15,3.745692220072991
2021-08-16,3.9134358317616225
2021-08-17,2.9350768736453126
2021-08-18,2.201307655135038
2021-08-19,1.6509807412956214
2021-08-20,1.238235555940409
2021-08-21,0.9286766669376966
2021-08-22,0.6965075001933667
2021-08-23,0.522380625139453
2021-08-24,0.39178546885145554
2021-08-25,0.29383910163682864
2021-08-26,0.22037932622662978
2021-08-27,0.16528449466941453
2021-08-28,0.12396337100174712
2021-08-29,0.09297252825113383
2021-08-30,0.0697293961882511
2021-08-31,1.1043803804778363
2021-09-01,0.9741186186913976
2021-09-02,1.2618389640190666
2021-09-03,2.0297125563486706
2021-09-04,1.5222844172609886
2021-09-05,1.141713312945452
2021-09-06,0.8562849847089262
2021-09-07,0.6422137385316031
2021-09-08,0.48166030389865083
2021-09-09,0.3612452279239592
2021-09-10,0.42718392094298124
2021-09-11,1.4141379407073695
2021-09-12,1.8106034555305672
2021-09-13,3.1600359249813614
2021-09-14,2.370026943735976
2021-09-15,1.7775202078019567
2021-09-16,1.3331401558514533
2021-09-17,1.1977717835552535
2021-09-18,3.356662170999813
2021-09-19,5.017496628249883
2021-09-20,4.388122471187405
2021-09-21,3.5510918533905467
