date,Capodanno
2021-06-01,0.5
2021-06-02,1.4523809523809523
2021-06-03,0.9504504504504504
2021-06-04,1.440952380952381
2021-06-05,1.9929577464788732
2021-06-06,1.8683793683793684
2021-06-07,3.1445493179310184
2021-06-08,2.793241543026706
2021-06-09,3.2207829712819795
2021-06-10,3.725245273752005
2021-06-11,2.850749507674209
2021-06-12,2.727921383867498
2021-06-13,2.7229052004399046
2021-06-14,3.5570414975072855
2021-06-15,2.94966446382235
2021-06-16,2.5625349721323682
2021-06-17,2.588765065986481
2021-06-18,2.1578946771409897
2021-06-19,2.9028207658639844
2021-06-20,3.449683124170938
2021-06-21,3.201254812340202
2021-06-22,2.599868352048582
2021-06-23,2.9816620486564385
2021-06-24,3.0488139160903835
2021-06-25,2.4007060410595815
2021-06-26,3.332305332508995
2021-06-27,3.6347737026321094
2021-06-28,2.8299914419549825
2021-06-29,3.712703763614798
2021-06-30,2.898965837024651
2021-07-01,3.4034586144661585
2021-07-02,3.167153556766696
2021-07-03,2.3753055102822187
2021-07-04,1.7814455769593163
2021-07-05,1.3360653082309597
2021-07-06,2.202076506278568
2021-07-07,3.255749163646849
2021-07-08,2.587633261242745
2021-07-09,2.211553236490997
2021-07-10,2.346166281115795
2021-07-11,2.3012910390347425
2021-07-12,2.632220151285507
2021-07-13,1.9741623215735935
2021-07-14,1.4806201707456548
2021-07-15,1.1104642446914519
2021-07-16,0.8640977425580024
2021-07-17,1.2105737720251777
2021-07-18,2.2933480858162927
2021-07-19,2.0533442164697013
2021-07-20,1.5400078716387868
2021-07-21,1.1550057402028064
2021-07-22,0.8662542131685931
2021-07-23,0.691357284757271
2021-07-24,1.2685180669880731
2021-07-25,2.1701386714105544
2021-07-26,2.075520660687741
2021-07-27,1.5566404562911522
2021-07-28,1.1674803201544974
2021-07-29,0.8756102277049486
2021-07-30,0.7400409997885302
2021-07-31,2.0862807820416656
2021-08-01,2.1063772535584264
2021-08-02,1.840199603254265
2021-08-03,1.3801496977984777
2021-08-04,1.035112270737609
2021-08-05,0.7763342015843792
2021-08-06,1.3426673202658366
2021-08-07,1.6736671579228464
2021-08-08,3.1302503719300225
2021-08-09,5.076854449110141
2021-08-10,4.137640835567537
2021-08-11,3.686563959553305
2021-08-12,3.8065896364225833
2021-08-13,3.0007755601923733
2021-08-14,3.12558167019747
2021-08-15,3.531686252777908
2021-08-16,4.013348023032232
2021-08-17,3.0100110170937784
2021-08-18,2.2575082627188614
2021-08-19,1.6931311969820677
2021-08-20,1.2698483977044444
2021-08-21,0.9523862982602734
2021-08-22,0.7142897236850464
2021-08-23,0.5357172927580706
2021-08-24,1.5476213029261716
2021-08-25,1.1919659771882272
2021-08-26,0.9564744828879912
2021-08-27,0.7173558621635724
2021-08-28,0.5484335632880633
2021-08-29,0.43215850579871856
2021-08-30,0.3449522126819997
2021-08-31,2.038714159516926
2021-09-01,1.5915356196366202
2021-09-02,2.297818381395405
2021-09-03,1.8900304527126695
2021-09-04,1.4175228395340231
2021-09-05,1.063142129650248
2021-09-06,0.7973565972375344
2021-09-07,0.5980174479280655
2021-09-08,0.44851308594600126
2021-09-09,0.336384814459474
2021-09-10,0.2522886108445903
2021-09-11,1.8037997914669859
2021-09-12,4.977849843600562
2021-09-13,7.191720716033924
2021-09-14,5.393790537025341
2021-09-15,4.045342902768947
2021-09-16,3.034007177076678
2021-09-17,2.27550538280749
2021-09-18,1.7066290371056072
2021-09-19,1.2799717778291997
2021-09-20,0.9599788333718965
2021-09-21,0.7199841250289206
2021-09-22,0.5399880937716894
2021-09-23,0.4049910703287665
2021-09-24,0.3037433027465746
2021-09-25,0.22780747705993074
2021-09-26,0.17085560779494796
2021-09-27,0.1281417058462109
2021-09-28,0.09610627938465814
2021-09-29,0.07207970953849359
2021-09-30,0.05405978215387018
2021-10-01,0.04054483661540263
2021-10-02,0.03040862746155197
2021-10-03,0.022806470596163975
2021-10-04,0.01710485294712298
2021-10-05,0.012828639710342236
2021-10-06,0.009621479782756676
2021-10-07,0.0072161098370675065
2021-10-08,0.23457874904446735
2021-10-09,3.3113507284500177
2021-10-10,3.2335130463375132
2021-10-11,3.123051451419802
2021-10-12,3.792288588564851
2021-10-13,3.0629664414236384
2021-10-14,3.578474831067729
2021-10-15,4.100522789967464
2021-10-16,3.8149754258089312
2021-10-17,3.663314902690032
2021-10-18,4.757902843684191
2021-10-19,4.208427132763143
2021-10-20,4.333403682905691
2021-10-21,3.5104694288459344
2021-10-22,2.987018738301117
2021-10-23,3.2402640537258383
2021-10-24,2.8676980402943784
2021-10-25,3.1611901968874507
2021-10-26,3.310892647665588
2021-10-27,2.701919485749191
2021-10-28,3.5368562809785598
2021-10-29,3.02764221073392
2021-10-30,4.4165649913837735
2021-10-31,4.979090410204496
2021-11-01,5.0676511409867055
2021-11-02,5.180738355740028
2021-11-03,3.885553766805021
2021-11-04,2.9141653251037654
2021-11-05,2.1856239938278237
2021-11-06,1.6392179953708677
2021-11-07,1.2294134965281507
2021-11-08,0.922060122396113
2021-11-09,3.1415450917970857
