date,Santo Ambrogio
2021-06-01,1.6666666666666667
2021-06-02,1.1428571428571428
2021-06-03,5.0990990990990985
2021-06-04,4.56
2021-06-05,4.786171574903969
2021-06-06,4.990594990594991
2021-06-07,5.726608907985256
2021-06-08,4.21347214921577
2021-06-09,4.403542122925612
2021-06-10,3.4687660670198994
2021-06-11,3.7053152366213222
2021-06-12,4.157906191199455
2021-06-13,3.1784948427454194
2021-06-14,3.1754841544379846
2021-06-15,2.8776327907429273
2021-06-16,2.5192156563398025
2021-06-17,2.0840573470531067
2021-06-18,2.230535478197882
2021-06-19,2.748006288129083
2021-06-20,3.1560487050810417
2021-06-21,3.795641074362251
2021-06-22,4.267572640468636
2021-06-23,3.720781286117347
2021-06-24,3.7489475597145923
2021-06-25,4.343408027121829
2021-06-26,5.018353631432395
2021-06-27,5.170079449977398
2021-06-28,4.825366815033526
2021-06-29,4.688992639294679
2021-06-30,5.756518453795606
2021-07-01,4.379704434602713
2021-07-02,3.3159214663724357
2021-07-03,2.4868786402571446
2021-07-04,1.8651238482557622
2021-07-05,1.3988231251285976
2021-07-06,1.8291310206559206
2021-07-07,2.809371632302465
2021-07-08,2.4403554601511845
2021-07-09,2.15317941109953
2021-07-10,2.562805344429397
2021-07-11,2.724188558878411
2021-07-12,2.3243891575618996
2021-07-13,2.3932921605008115
2021-07-14,1.7949672165257413
2021-07-15,1.3462243414807435
2021-07-16,1.0096676537225173
2021-07-17,0.8822505692482037
2021-07-18,1.3804384285087283
2021-07-19,2.3582462263865223
2021-07-20,1.7686843359082254
2021-07-21,1.3265130641227936
2021-07-22,0.9948846924499103
2021-07-23,0.839913482312184
2021-07-24,2.3070187079546995
2021-07-25,2.0740139996523395
2021-07-26,2.7117605640197
2021-07-27,2.033820371766011
2021-08-03,1.5253652499970796
2021-08-04,1.1440239212823817
2021-08-05,0.8580179318406083
2021-08-06,0.7060134452447107
2021-08-07,1.7378434357768686
2021-08-08,2.3137992512483736
2021-08-09,2.652016108515788
2021-08-10,2.149012077580098
2021-08-11,2.3825923928442116
2021-08-12,2.9015276301756048
2021-08-13,3.4157290576067574
2021-08-14,5.707630132026514
2021-08-15,4.56197259696237
2021-08-16,4.598562781104396
2021-08-17,4.348922085576108
2021-08-18,4.417941564234374
2021-08-19,4.021789506284003
2021-08-20,3.214258796035514
2021-08-21,2.410694096769787
2021-08-22,1.808020572432863
2021-08-23,1.3560154292433788
2021-08-24,3.027011572157862
2021-08-25,2.270258679041862
2021-08-26,1.702694009238346
2021-08-27,1.287437173571803
2021-08-28,0.9864112134993421
2021-08-29,0.7398084101166155
2021-08-30,0.5652729742499394
2021-08-31,0.44395473068527086
2021-09-01,0.39546604801329854
2021-09-02,1.4840995360209963
2021-09-03,2.446407985356388
2021-09-04,1.8348059890138078
2021-09-05,1.3761044917583964
2021-09-06,1.0320783688176953
2021-09-07,0.7740587766126515
2021-09-08,0.5805440824591399
2021-09-09,0.43540806184415876
2021-09-10,0.4619727130498127
2021-09-11,0.6277295347874855
2021-09-12,0.5124638177572151
2021-09-13,1.5718478633183641
2021-09-14,9.428885897491295
2021-09-28,7.071664423117904
2021-09-29,5.303748317338109
2021-09-30,3.9778112380034023
2021-10-01,3.0354417618357896
2021-10-02,2.807831321376825
2021-10-03,3.220456824365976
2021-10-04,4.196592618274524
2021-10-05,3.147444463705859
2021-10-12,2.600166681112715
2021-10-13,2.345958344167865
2021-10-14,2.2178020914592302
2021-10-15,1.705018235261084
2021-10-16,2.747513676445821
2021-10-17,2.4043852573343636
2021-10-18,3.2720389430007764
2021-10-19,2.5340292072505797
2021-10-20,2.4630219054379348
2021-10-21,3.0451830957451187
2021-10-22,2.3047206551421717
2021-10-23,2.2389571580232954
2021-10-24,2.533384535184138
2021-10-25,2.72295506805477
2021-10-26,2.042216301041077
2021-11-23,1.7920788924474746
2021-11-24,3.0211425026689396
2021-11-25,3.015856877001705
2021-11-26,2.709809324417945
2021-11-27,2.230273659980125
2021-11-28,1.9227052449850939
2021-11-29,1.8378622670721536
2021-11-30,2.5783967003041153
2021-12-01,2.100464191894753
2021-12-02,2.939931477254398
2021-12-03,2.454948607940798
2021-12-04,1.8412114559555985
2021-12-05,1.3809085919666988
2021-12-06,1.035681443975024
2021-12-07,0.7767610829812679
2021-12-08,0.5825708122359509
2021-12-09,0.4369281091769631
2021-12-10,0.5360294152160557
2021-12-11,2.2041053947453753
2021-12-12,1.9134957127256982
2021-12-13,2.78928845121094
2021-12-14,2.651966338408205
2021-12-15,2.2493914204728203
2021-12-16,2.2703768986879487
2021-12-17,3.3694493406826287
2021-12-18,4.183337005511972
2021-12-19,3.543752754133979
2021-12-20,3.397397898933818
2021-12-21,2.978048424200363
2021-12-22,2.587702984816939
2021-12-23,3.5761939052793714
2021-12-24,3.348812095626195
2021-12-25,3.615775738386313
2021-12-26,3.0347484704564014
2021-12-27,5.307311352842301
2021-12-28,4.690483514631725
2021-12-29,3.6741126359737937
2021-12-30,5.307667810313679
2021-12-31,5.084917524401925
2022-01-01,4.584521476634777
2022-01-02,4.2717244408094155
2022-01-03,3.370459997273728
2022-01-04,3.797844997955296
2022-01-05,4.265050415133139
2022-01-06,3.3446211446831877
2022-01-07,3.164715858512391
2022-01-08,2.9777035605509594
2022-01-09,2.5145276704132193
2022-01-10,3.062979086143248
2022-01-11,7.7972343146074365
2022-01-18,6.9312590692889104
2022-01-19,5.563027635300015
2022-01-20,5.172270726475011
2022-01-21,3.9417030448562578
2022-01-22,3.56044395030886
2022-01-23,2.9828329627316443
