date,autostrada A4
2021-06-01,6.5
2021-06-02,7.690476190476191
2021-06-03,5.6441441441441444
2021-06-04,4.875238095238095
2021-06-05,3.878147673922322
2021-06-06,4.827591327591327
2021-06-07,3.9757343100655067
2021-06-08,3.6491004662992794
2021-06-09,4.025504170430159
2021-06-10,3.235030440469706
2021-06-11,5.109612735242029
2021-06-12,4.349808388129631
2021-06-13,4.3882700345866725
2021-06-14,3.440990617193255
2021-06-15,4.616451184353161
2021-06-16,4.208247123981144
2021-06-17,3.2846594502269557
2021-06-18,2.741683446361751
2021-06-19,2.220726498246602
2021-06-20,1.9877226357209592
2021-06-21,2.794794857924027
2021-06-22,2.9363486480444623
2021-06-23,2.628933542519384
2021-06-24,2.1274469696364973
2021-06-25,2.074712208694675
2021-06-26,2.9627853917692275
2021-06-27,2.992935139720271
2021-06-28,3.0989016636316755
2021-06-29,2.754094145794101
2021-06-30,3.242741206292328
2021-07-01,3.1195394034926536
2021-07-02,2.3499939165752934
2021-07-03,1.762451172361067
2021-07-04,1.3218134812630244
2021-07-05,0.9913461062795365
2021-07-06,1.663530944281521
2021-07-07,1.3518074440655365
2021-07-08,1.284687716390917
2021-07-09,2.223945048254983
2021-07-10,3.0742173370269197
2021-07-11,3.180663805636172
2021-07-12,2.5209107887836955
2021-07-13,1.8906804177586194
2021-07-14,1.4180088092937886
2021-07-15,1.0635057609577505
2021-07-16,1.2351296279003379
2021-07-17,2.2700986102594127
2021-07-18,3.421325116742563
2021-07-19,3.20141033816692
2021-07-20,2.4010573003679316
2021-07-21,1.8007927203188252
2021-07-22,1.3505943968257725
2021-07-23,1.971279279244801
2021-07-24,3.6138764204334906
2021-07-25,3.002073899771164
2021-07-26,2.75155539957784
2021-07-27,2.063666497682545
2021-07-28,1.5477498440114403
2021-07-29,1.1608123665551924
2021-07-30,1.0893592726376435
2021-07-31,2.5982694905693617
2021-08-01,2.4799521158045255
2021-08-02,3.016214094068398
2021-08-03,2.262160562942378
2021-08-04,1.696620417926766
2021-08-05,1.2724653110375648
2021-08-06,0.9543489819239492
2021-08-07,0.7157617356812108
2021-08-08,0.536821301332423
2021-08-09,0.40261597575829444
2021-08-10,0.3019619816831455
2021-08-11,0.22647148618609797
2021-08-12,0.1698536145966766
2021-08-13,0.12739021092337793
2021-08-14,0.09554265817896061
2021-08-15,0.07165699362658573
2021-08-16,0.05374274521564477
