date,Traffico Milano
2021-06-01,1.7916666666666667
2021-06-02,1.1488095238095237
2021-06-03,1.2466216216216217
2021-06-04,1.1107142857142858
2021-06-05,1.0061352966282544
2021-06-06,2.3855187605187607
2021-06-07,2.081950999037355
2021-06-08,1.503558711318355
2021-06-09,1.0971542846065963
2021-06-10,0.8064978267394419
2021-06-11,0.5959822145363
2021-06-12,0.4421126339001985
2021-06-13,0.3288947277368545
2021-06-14,0.24517941063457513
2021-06-15,1.1332522852094924
2021-06-16,1.8887613761164859
2021-06-17,1.6753837504900002
2021-06-18,1.7989008330396672
2021-06-19,1.5564839510325232
2021-06-20,1.845362391366614
2021-06-21,2.7403170283137457
2021-06-22,2.054013538461136
2021-06-23,1.5398222404279316
2021-06-24,1.154480031309446
2021-06-25,0.8656426608084404
2021-06-26,0.6491097828057164
2021-06-27,0.4867636150468782
2021-06-28,0.3650340646761975
2021-06-29,0.2737538138164951
2021-06-30,0.2053031362973064
2021-07-01,0.1539704769027733
2021-07-02,0.1154739906116503
2021-07-03,0.08660331786190531
2021-07-04,0.06495126495823374
2021-07-05,0.04871276055737463
2021-07-06,0.036534183336868815
2021-07-07,0.027400419773534877
2021-07-08,0.020550192359226057
2021-07-09,0.01541257538024264
2021-07-10,0.01155939278532307
2021-07-11,0.008669522792324535
2021-07-12,0.006502129833671725
2021-07-13,0.004876590478704984
2021-07-14,0.003657438979729633
2021-07-15,0.0027430770526955285
2021-07-16,0.074974103739332
2021-07-17,1.2124821047862242
2021-07-18,2.5760296180678663
2021-07-19,2.140355217908436
2021-07-20,1.6052661103987773
2021-07-21,1.20394941234333
2021-07-22,0.9029619633761603
2021-07-23,2.4584718441697953
2021-07-24,4.083437507634558
2021-07-25,5.093828266513125
2021-07-26,4.997454523504369
2021-07-27,3.7480907981828557
2021-07-28,2.8110680455115946
2021-07-29,2.1083010042505768
2021-07-30,1.7270590743628649
2021-07-31,2.451544323100874
2021-08-01,2.2344915717652785
2021-08-02,3.1862853582963
2021-08-03,3.439714021279495
2021-08-04,2.5797855094516677
2021-08-05,1.9348391284280269
2021-08-06,1.6490460117710628
2021-08-07,2.6638678454017097
2021-08-08,2.3104008832048812
2021-08-09,2.4098839959156586
2021-08-10,3.747412998738321
2021-08-11,3.25847641522648
2021-08-12,3.5584406449804633
2021-08-13,3.585497150417389
2021-08-14,3.8245395295815836
2021-08-15,3.399654647050379
2021-08-16,3.268490985256341
2021-08-17,4.271368239122568
2021-08-18,3.5993595125846416
2021-08-19,3.157852967727163
2021-08-20,3.0038063924503544
2021-08-21,2.2528547942950454
2021-08-22,1.6896410956972538
2021-08-23,1.2672308217594235
2021-08-24,0.9504231163119643
2021-08-25,0.7128173372296964
2021-08-26,0.5346130029198666
2021-08-27,0.40095975218854674
2021-08-28,0.30071981414064886
2021-08-29,0.22553986060505848
2021-08-30,0.169154895453553
2021-08-31,1.4185328382608342
2021-09-01,1.1055662953615404
2021-09-02,1.1312580548545348
2021-09-03,0.8484435411405189
2021-09-04,0.6363326558551742
2021-09-05,0.47724949189125965
2021-09-06,0.3579371189183767
2021-09-07,0.26845283918874424
2021-09-08,0.20133962939153666
