date,Ferragosto
2021-06-22,10.625
2021-06-23,5.601190476190476
2021-06-24,5.899774774774775
2021-06-25,4.443095238095238
2021-06-26,3.369131455399061
2021-06-27,2.7626596376596377
2021-06-28,2.843156418022587
2021-06-29,2.0532916490038153
2021-07-06,1.8136413347576175
2021-07-07,2.3045420101388507
2021-07-08,2.8341060502074806
2021-07-09,4.060252724682776
2021-07-10,4.332917308006477
2021-07-11,3.972431530834248
2021-07-12,4.190572094374625
2021-07-13,3.1323226645349553
2021-07-14,2.343311039980488
2021-07-15,1.754161827511776
2021-07-16,1.6171252746973581
2021-07-17,3.4582659366046493
2021-07-18,4.335368895317578
2021-07-19,3.531342443704235
2021-07-20,2.6473241444439424
2021-07-27,1.984828365847297
2021-07-28,1.4882475757604425
2021-07-29,1.115975568672638
2021-07-30,0.9619164624073963
2021-07-31,0.9818603452416051
2021-08-01,0.9238814536089993
2021-08-02,2.068115429901879
2021-08-03,1.5510173140796495
2021-08-04,1.1632240307837518
2021-08-05,0.8723961123104054
2021-08-06,2.071031479178934
2021-08-07,4.949228916025101
2021-08-08,6.618224734006924
2021-08-09,9.23456425169908
2021-08-10,7.325889064766198
2021-08-11,5.869397268796271
2021-08-12,4.912454994692395
2021-08-13,5.048925608673893
2021-08-14,6.161700501282873
2021-08-15,11.444214454338022
2021-08-16,8.812319132817706
2021-08-17,7.539236311433209
2021-08-18,6.1648414402725304
2021-08-19,5.11321300184005
2021-08-20,5.2828265888126555
2021-08-21,3.9621189443490374
2021-08-22,2.9715886473030197
2021-08-23,2.228691169938067
2021-08-24,1.6715181999627957
2021-09-07,1.2536385501335658
2021-09-08,0.9402288564410085
2021-09-09,0.7051716107412289
2021-09-10,0.5913786965863825
2021-09-11,0.6102006905292987
2021-09-12,1.7805672509188741
2021-09-13,2.7000088106190603
2021-09-14,2.025006586437419
2021-09-15,1.5187549277191967
2021-09-16,1.1390661889781597
2021-09-17,1.0730496408454164
2021-09-18,2.4922872449551488
2021-09-19,3.796298776918477
2021-09-20,3.1597240790756516
2021-09-21,2.5997930569231067
2021-09-22,3.1060947943088286
2021-09-23,2.4649877608631137
2021-09-24,3.244574155380748
2021-09-25,3.27718061657948
2021-09-26,3.5724687960662456
2021-09-27,2.6793515963730083
2021-09-28,2.009513696899126
2021-09-29,1.50713527246024
2021-09-30,1.1303514542247461
2021-10-01,1.066513590653256
2021-10-02,1.414468526385836
2021-10-03,1.4358513947922606
2021-10-04,1.3477218794186157
2021-10-05,2.6207914096605256
2021-10-06,1.9655935572081211
2021-10-07,1.4741951678851248
2021-10-08,1.1056463759020503
2021-10-09,2.40215144862432
2021-10-10,1.905780253125972
2021-10-11,1.5855851898401563
2021-10-12,2.7891888923923034
2021-10-13,2.206475002623136
2021-10-14,2.7069395853035356
2021-10-15,3.821871355649081
2021-10-16,3.189320183401451
2021-10-17,2.8919901375503736
2021-10-18,2.5023259364954114
2021-10-19,2.826744452371997
2021-10-20,2.797141672612301
2021-10-21,2.3686895877922334
2021-10-22,3.036933857511223
2021-10-23,3.267283726466849
2021-10-24,2.4921294615165546
2021-10-25,2.181597096137341
2021-10-26,1.6361978221029074
2021-11-09,2.539648366577303
2021-11-10,2.352652941599625
2021-11-11,2.5249063728663983
2021-11-12,2.5707631129831348
2021-11-13,3.0739056680707058
2021-11-14,4.086679251053061
2021-11-15,3.1275094382897723
2021-11-16,2.345632078717315
2021-11-17,1.7592240590379782
2021-11-18,1.3194180442784793
2021-11-19,0.9999801998755237
2021-11-20,0.9791518165733093
2021-11-21,0.9218638624299818
2021-11-22,1.8580645634891562
2021-11-23,2.483548422616869
2021-11-24,3.0293279836293197
2021-11-25,3.5740793210553234
2021-11-26,2.9513928241248255
2021-11-27,2.8281279514269526
2021-11-28,4.329429296903549
2021-11-29,3.403321972677661
2021-11-30,9.052491479508248
2021-12-07,6.789368609631186
2021-12-08,5.092026457223389
2021-12-09,3.819019842917541
2021-12-10,2.9267648821881553
2021-12-11,3.788823661641117
2021-12-12,5.164534412897504
2021-12-13,5.196317476339795
2021-12-14,3.8972381072548457
2021-12-21,3.037511913774468
2021-12-22,2.6218839353308505
2021-12-23,3.903912951498138
2021-12-24,5.28210138029027
2021-12-25,5.1907427018843695
2021-12-26,4.44514035974661
2021-12-27,3.8234386031432908
2021-12-28,3.027578952357468
2021-12-29,2.9998508809347673
2021-12-30,3.0832214940344094
2021-12-31,2.4790827871924734
2022-01-01,3.140562090394355
2022-01-02,2.792921567795766
2022-01-03,2.3655245091801578
2022-01-04,2.734143381885118
2022-01-05,2.248524203080505
2022-01-06,2.832226485643712
2022-01-07,3.155419864232784
2022-01-08,3.5853148981745884
2022-01-09,2.845236173630941
2022-01-10,2.550593796889872
2022-01-11,2.2129453476674037
2022-01-12,3.4930423440838867
2022-01-13,3.0156150913962487
2022-01-14,3.397127985213854
2022-01-15,2.54784598891039
2022-01-16,1.9108844916827925
2022-01-17,1.4331633687620942
2022-01-18,2.324872526571571
2022-01-19,2.4415710615953445
2022-01-20,2.372844962863175
2022-01-21,1.8942170554807145
2022-01-22,1.9831627916105359
2022-01-23,1.6852887603745688
2022-01-24,3.024383236947594
2022-01-25,3.4782874277106957
2022-01-26,2.6087155707830214
2022-01-27,1.956536678087266
2022-01-28,2.1236525085654496
2022-01-29,3.1552393814240878
2022-01-30,3.6268462027347326
2022-01-31,3.272217985384383
2022-02-01,2.454163489038287
2022-02-02,1.8406226167787152
2022-02-03,1.3804669625840362
2022-02-04,1.160350221938027
2022-02-05,2.9223459997868537
2022-02-06,3.118842833173474
