date,Lago Garda
2021-06-01,0.0
2021-06-02,0.0
2021-06-03,0.0
2021-06-04,0.0
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,0.0
2021-06-10,0.0
2021-06-11,0.0
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.0
2021-06-17,0.0
2021-06-18,0.0
2021-06-19,0.0
2021-06-20,0.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-25,0.0
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,0.0
2021-06-29,1.6879019054003577
2021-06-30,2.797374560996091
2021-07-01,3.9106800330607174
2021-07-02,3.7975819971568208
2021-07-03,2.8481149656677744
2021-07-04,2.1360459891568473
2021-07-05,1.6020118603732816
2021-07-06,1.2014961653790972
2021-07-07,0.9011149635978507
2021-07-08,0.6758321950088809
2021-07-09,0.506871880704941
2021-07-10,0.38015263616583145
2021-07-11,0.285113760299462
2021-07-12,0.2138349170123578
2021-07-13,0.16037596095313247
2021-07-14,0.12028184313671367
2021-07-15,0.09021131058996713
2021-07-16,0.06765844257608698
2021-07-17,0.05074380922599549
2021-07-18,0.03805784414734238
2021-07-19,0.028543375926174248
2021-07-20,0.021407527903445415
2021-07-21,0.016055643654418094
2021-07-22,0.01204173146215803
2021-07-23,0.009031297877374916
2021-07-24,0.006773473003456714
2021-07-25,0.005080104525019419
2021-07-26,0.0038100782657546958
2021-07-27,0.0028575586273104753
2021-07-28,0.002143168929979738
2021-07-29,0.0016073766747018003
2021-07-30,0.0012055324932109112
2021-07-31,0.000904149362699499
2021-08-01,0.0006781120179697394
2021-08-02,0.0005085840111964319
2021-08-03,0.000381438007114333
2021-08-04,0.0002860785046140674
2021-08-05,0.0002145588780546042
2021-08-06,0.00016091915831260834
2021-08-07,0.0001206893686060123
2021-08-08,9.05170263822595e-05
2021-08-09,6.788776974605415e-05
2021-08-10,5.0915827286680346e-05
2021-08-11,3.818687045215136e-05
2021-08-12,2.864015283188039e-05
2021-08-13,2.1480114619841658e-05
2021-08-14,1.6110085962592635e-05
2021-08-15,1.2082564470657133e-05
2021-08-16,9.06192335226872e-06
2021-08-17,6.796442513794218e-06
2021-08-18,5.097331885116545e-06
2021-08-19,3.822998913708529e-06
2021-08-20,2.8672491852089023e-06
2021-08-21,2.1504368888658982e-06
2021-08-22,1.612827666626486e-06
2021-08-23,1.209620749956962e-06
2021-08-24,1.135417573909479
2021-08-25,0.8932298470944166
2021-08-26,0.7324223853186416
2021-08-27,0.6326501223213044
2021-08-28,0.526570925073506
2021-08-29,0.43659486047128376
2021-08-30,0.3795294786865524
2021-08-31,2.4246471090214663
2021-09-01,2.7455686651002043
2021-09-02,2.902926498825437
2021-09-03,2.666778207452092
2021-09-04,2.000083655588393
2021-09-05,1.5000627416909145
2021-09-06,1.125047056267972
2021-09-07,0.8437852922008586
2021-09-08,0.6328389691505762
2021-09-09,0.4746292268628941
2021-09-10,1.0955552534806159
2021-09-11,3.561249773444129
2021-09-12,4.327187330083174
2021-09-13,3.8495571642290103
2021-09-14,2.8871678731717028
