date,Pioggia
2021-06-01,2.9166666666666665
2021-06-02,2.5119047619047623
2021-06-03,1.8941441441441444
2021-06-04,4.767142857142857
2021-06-05,3.4913572343149806
2021-06-06,4.596450846450846
2021-06-07,4.099792209621751
2021-06-08,3.805368545994065
2021-06-09,4.747697554108358
2021-06-10,5.178800063060432
2021-06-11,5.882574036812601
2021-06-12,5.923648276346722
2021-06-13,4.609430659014564
2021-06-14,5.419422045340565
2021-06-15,5.373958990241201
2021-06-16,4.511407571827311
2021-06-17,4.466551834008138
2021-06-18,5.805378458574526
2021-06-19,6.08438020883946
2021-06-20,5.488478760174494
2021-06-21,5.783727960138452
2021-06-22,5.136641693275403
2021-06-23,3.892483433228516
2021-06-24,3.7004198600072815
2021-06-25,2.9831084203073814
2021-06-26,3.6647994001293855
2021-06-27,3.342212997435579
2021-06-28,3.454612099128264
2021-06-29,3.230905807763403
2021-06-30,2.5480574113286476
2021-07-01,2.5568775731720224
2021-07-02,3.1885549667388067
2021-07-03,2.3913561646390153
2021-07-04,1.7934833409805941
2021-07-05,1.3450935037063172
2021-07-06,1.1288132535768602
2021-07-07,2.3570558854902055
2021-07-08,3.0907216975358214
2021-07-09,2.6930359406709576
2021-07-10,2.5301919845157714
2021-07-11,2.3976429886441295
2021-07-12,2.673233800453236
2021-07-13,2.0049225149478542
2021-07-14,1.5036902913067969
2021-07-15,1.1277668213482104
2021-07-16,1.4395756741041346
2021-07-17,3.6213513510431445
2021-07-18,4.382680946451137
2021-07-19,3.9640937270983425
2021-07-20,2.9730697340854073
2021-07-21,2.2298019848675885
2021-07-22,1.6723513110714727
2021-07-23,1.2542633834153125
2021-07-24,0.940697481374328
2021-07-25,0.7055230794254738
2021-07-26,0.529142291791141
2021-07-27,0.3968567088432515
2021-07-28,0.2976425260073802
2021-07-29,0.22323189134143992
2021-07-30,0.3236739217093333
2021-07-31,0.9615054565380834
2021-08-01,2.2627957824140816
2021-08-02,3.342930184676296
2021-08-03,2.507197630074104
2021-08-04,1.8803982178119492
2021-08-05,1.4102986606906707
2021-08-06,1.255640661526289
2021-08-07,1.8583971647358386
2021-08-08,4.383381212931458
2021-08-09,3.98545257565061
2021-08-10,3.419089430975098
2021-08-11,2.7205670725256703
2021-08-12,4.092508638767047
2021-08-13,3.8089648122474973
2021-08-14,4.471306942801234
2021-08-15,4.0409802069633765
2021-08-16,4.134901821911715
2021-08-17,3.8511763663827736
2021-08-18,4.471715608204091
2021-08-19,5.385036706245437
2021-08-20,4.5075275296175175
2021-08-21,3.3806456471490316
2021-08-22,2.535484235325714
2021-08-23,1.9016131764740016
2021-08-24,1.6462098823493716
2021-08-25,2.3075740784406
2021-08-26,2.69943055883574
2021-08-27,2.6391562524595282
2021-08-28,2.291867189342009
2021-08-29,2.114733725338831
2021-08-30,2.815216960673782
2021-08-31,3.4014127205072144
2021-09-01,2.738559540378818
2021-09-02,2.178919655283105
2021-09-03,1.7175230747950385
2021-09-04,1.2881423060958437
2021-09-05,0.9661067295716379
2021-09-06,0.7245800471785907
2021-09-07,0.5434350353838655
2021-09-08,0.40757627653785555
2021-09-09,0.30568220740336716
2021-09-10,0.26051165555251726
2021-09-11,0.45580040833108104
2021-09-12,1.1543503062483818
2021-09-13,2.282429396353039
2021-09-14,1.7118220472647465
2021-09-15,1.2838665354485417
2021-09-16,0.9628999015863959
2021-09-17,1.9617582595231544
2021-09-18,2.9504853613090503
2021-09-19,6.098280687648497
2021-09-20,7.042460515736383
2021-09-21,5.711845386802277
2021-09-22,5.3568007067683725
2021-09-23,4.121767196742941
2021-09-24,3.632992064223871
2021-09-25,3.328910714834569
2021-09-26,4.444599702792596
2021-09-27,3.708449777094446
2021-09-28,2.7813373328208333
2021-09-29,2.0860029996156246
2021-09-30,1.5645022497117183
2021-10-01,1.4025433539504555
2021-10-02,1.5935741821295082
2021-10-03,4.413930636597132
2021-10-04,4.477114644114516
2021-10-05,3.3578359830858866
2021-10-06,2.5183769873144146
2021-10-07,1.8887827404858109
2021-10-08,1.552003722031025
2021-10-09,2.6431694581899356
2021-10-10,3.4615437603091186
2021-10-11,3.7419911535651726
2021-10-12,3.2864933651738797
2021-10-13,2.766953357213743
2021-10-14,2.262715017910307
2021-10-15,3.1762029300993975
2021-10-16,2.7779855309078814
2021-10-17,3.2397391481809112
2021-10-18,3.419387694469017
2021-10-19,2.5645407708517625
2021-10-20,1.9234055781388217
2021-10-21,1.442554183604116
2021-10-22,1.081915637703087
2021-10-23,0.8114367282773152
2021-10-24,0.6085775462079863
2021-10-25,0.45643315965598974
2021-10-26,1.9152415364086595
2021-10-27,2.6864311523064948
2021-10-28,3.254406697563205
2021-10-29,2.5137216898390697
2021-10-30,2.676957934045969
2021-10-31,2.6327184505344765
2021-11-01,3.255788837900858
2021-11-02,2.4418416284256432
2021-11-03,1.8313812213192324
2021-11-04,1.373535915989424
2021-11-05,1.030151936992068
2021-11-06,0.772613952744051
2021-11-07,0.5794604645580381
2021-11-08,0.4345953484185286
2021-11-09,0.45094651131389646
2021-11-10,0.6194598834854224
2021-11-11,0.7145949126140668
2021-11-12,1.6505295177938837
2021-11-13,1.6649804716787462
2021-11-14,1.8008186870923932
2021-11-15,1.881864015319295
2021-11-16,12.161398011489474
2021-11-17,9.121048508617104
2021-11-18,6.840786381462828
2021-11-19,5.13058978609712
2021-11-20,3.84794233957284
2021-11-21,2.8859567546796296
2021-11-22,2.164467566009722
2021-11-23,3.852517341173958
2021-11-24,3.3373046725471354
2021-11-25,2.888395171077018
2021-11-26,3.593379711641097
