Data,Ospiti,Vacanze,Viaggi,Gita,Google Maps,Traffico,Traffico Milano,Mare,Montagna,Lago Garda,Santo Ambrogio,Halloween,Natale,Pasqua,Ferragosto,Capodanno,Partita milan,Partita inter,Partita juventus,champions league,Partita calcio,Previsioni del tempo,Pioggia,Neve,Meteo,Meteo Agrate,autostrada A4,Pizza,Ristorante
2021-06-01,319.0,6.125,3.7083333333333335,3.5,4.458333333333333,2.0,1.7916666666666667,16.208333333333332,2.333333333333333,0.0,1.6666666666666667,0.0,0.7916666666666666,0.0,0.0,0.5,0.875,2.7916666666666665,7.208333333333333,3.25,0.0,1.25,2.9166666666666665,1.75,17.333333333333332,2.458333333333333,6.5,0.0,13.458333333333334
2021-06-02,396.0,7.458333333333334,5.660714285714286,5.30952380952381,3.3869047619047623,5.0,1.1488095238095235,17.755952380952383,3.976190476190476,0.0,1.1428571428571428,0.0,2.172619047619048,0.0,0.0,1.4523809523809523,1.2083333333333333,6.148809523809524,3.398809523809524,2.107142857142857,0.0,4.583333333333333,2.5119047619047623,1.1071428571428572,19.9047619047619,1.2202380952380951,7.690476190476191,0.0,16.458333333333332
2021-06-03,188.0,7.296171171171171,7.753378378378378,3.2297297297297303,3.922297297297298,3.576576576576577,1.2466216216216215,18.76238738738739,3.518018018018018,0.0,5.0990990990990985,0.0,2.6385135135135136,0.0,0.0,0.9504504504504504,1.6047297297297298,5.381756756756757,3.0101351351351355,2.1328828828828827,0.0,3.934684684684685,1.8941441441441444,1.6193693693693694,19.063063063063066,3.5754504504504503,5.644144144144144,0.0,14.800675675675675
2021-06-04,258.0,6.883095238095239,6.715952380952381,3.252380952380953,4.179285714285714,3.975238095238096,1.1107142857142858,19.61119047619048,4.105714285714286,0.0,4.56,0.0,2.420238095238095,0.0,0.0,1.440952380952381,1.7340476190476188,3.657380952380952,2.9454761904761906,3.166190476190476,0.2895238095238095,4.034761904761904,4.767142857142857,1.971904761904762,22.666666666666668,2.8773809523809524,4.875238095238095,0.0,14.538333333333334
2021-06-05,571.0,6.716549295774648,5.798388817755015,2.4867690994451563,4.803403755868544,2.972684592402903,1.0061352966282544,18.20897353819889,3.593043107127614,0.0,4.786171574903969,0.0,2.733194622279129,0.0,0.0,1.9929577464788728,2.1216922748612888,3.182405036278276,2.7038518992744347,3.7672855313700384,0.3448570209133589,3.8867904396073407,3.491357234314981,2.513764404609475,27.323943661971832,5.621798975672215,3.878147673922322,0.0,16.16469270166453
2021-06-06,488.0,9.729989604989605,5.074039699039699,2.3260568260568264,5.496794871794871,4.4002574002574,2.3855187605187607,19.539340164340164,3.501386001386001,0.0,4.990594990594991,0.0,2.3581452331452333,0.0,0.0,1.8683793683793684,2.93370705870706,4.077331452331452,3.5288956538956544,4.12951687951688,1.6719136719136718,4.111300861300862,4.596450846450846,2.3955301455301456,29.81051381051381,4.0260989010989015,4.827591327591327,0.0,17.394478269478267
2021-06-07,214.0,9.819912070625248,6.12257577892043,2.7489023502617926,6.098785541546336,3.960202859759104,2.081950999037355,19.852565682890752,2.8518348946960623,0.0,5.726608907985256,0.0,3.2886495973327694,0.0,0.0,3.1445493179310184,3.433686107393581,3.04522962597732,4.446200488366087,3.707467540090629,1.586250616327393,3.418016717146816,4.099792209621751,3.760037331830669,31.355826348289543,4.258995445047075,3.975734310065506,0.0,15.63374597919748
2021-06-08,259.0,8.803142263671045,7.766510979228486,2.985348028825774,9.416205765154729,2.8600084781687154,1.503558711318355,19.771287240356084,3.581972361169987,0.0,4.21347214921577,0.0,4.264147096227214,1.3774876360039563,0.0,2.793241543026706,3.857715387876219,2.365913946587537,3.210989826197542,4.11099940652819,2.179033149639678,2.74626112759644,3.805368545994065,4.048952098346757,31.068060703688,4.542643408223823,3.64910046629928,1.1691281616504168,16.16888367952522
2021-06-09,373.0,7.977893125079908,10.082080368939058,2.6289150282588403,9.303707420987292,2.0869624393201383,1.0971542846065965,19.49523838885429,3.5147664710338296,0.0,4.403542122925612,0.0,3.3818644029349043,2.153913412878772,0.0,3.2207829712819795,4.0763708871392375,2.638664878062864,2.3430752780859607,3.8219640959439527,2.603657660407241,2.172894816073513,4.747697554108358,3.416294510594831,29.202648288453265,3.866641858553196,4.025504170430159,1.9568232966676429,15.6502189836716
2021-06-10,344.0,7.862328669825751,10.965473940242829,2.4512655373055345,11.2432532058246,1.5340874983704338,0.8064978267394419,19.31988750012211,4.393916197671547,0.0,3.4687660670198994,0.0,3.1923952976186256,1.6605698143321674,0.0,3.725245273752005,3.415919139481119,2.7895805858085057,1.722351310272484,4.045741426627739,2.0132450352542173,1.7849053975620006,5.178800063060432,3.3170486673599267,26.84196448067276,4.034430141875865,3.235030440469706,3.061050380636405,15.787035524717028
2021-06-11,333.0,7.289207310460275,9.049431126291552,2.7685148891782587,11.158006150037616,1.1336532278922633,0.5959822145363,19.05149677288357,4.269342424671644,0.0,3.705315236621322,0.0,2.522242477702514,2.151581993600615,0.0,2.850749507674209,2.8831894434297687,2.779249087103143,1.2727755910461058,3.544381046098024,1.6726312397880725,4.505674431776836,5.882574036812601,2.516474125855673,26.83971154060778,3.7426666002017503,5.109612735242029,3.9695761621133214,15.50546793125918
