Data,Ospiti
2021-09-25 00:00:00.000000 UTC,686.0
2021-09-26 00:00:00.000000 UTC,370.0
2021-09-27 00:00:00.000000 UTC,239.0
2021-09-28 00:00:00.000000 UTC,289.0
2021-09-29 00:00:00.000000 UTC,297.0
2021-09-30 00:00:00.000000 UTC,376.0
2021-10-01 00:00:00.000000 UTC,440.0
2021-10-02 00:00:00.000000 UTC,745.0
2021-10-03 00:00:00.000000 UTC,409.0
2021-10-04 00:00:00.000000 UTC,211.0
2021-10-05 00:00:00.000000 UTC,271.0
2021-10-06 00:00:00.000000 UTC,298.0
2021-10-07 00:00:00.000000 UTC,312.0
2021-10-08 00:00:00.000000 UTC,391.0
2021-10-09 00:00:00.000000 UTC,802.0
2021-10-10 00:00:00.000000 UTC,533.0
2021-10-11 00:00:00.000000 UTC,224.0
2021-10-12 00:00:00.000000 UTC,313.0
2021-10-13 00:00:00.000000 UTC,311.0
2021-10-14 00:00:00.000000 UTC,302.0
2021-10-15 00:00:00.000000 UTC,497.0
2021-10-16 00:00:00.000000 UTC,663.0
2021-10-17 00:00:00.000000 UTC,503.0
2021-10-18 00:00:00.000000 UTC,278.0
2021-10-19 00:00:00.000000 UTC,270.0
2021-10-20 00:00:00.000000 UTC,314.0
2021-10-21 00:00:00.000000 UTC,356.0
2021-10-22 00:00:00.000000 UTC,361.0
2021-10-23 00:00:00.000000 UTC,714.0
2021-10-24 00:00:00.000000 UTC,468.0
2021-10-25 00:00:00.000000 UTC,242.0
2021-10-26 00:00:00.000000 UTC,274.0
2021-10-27 00:00:00.000000 UTC,278.0
2021-10-28 00:00:00.000000 UTC,340.0
2021-10-29 00:00:00.000000 UTC,423.0
2021-10-30 00:00:00.000000 UTC,689.0
2021-10-31 00:00:00.000000 UTC,603.0
2021-11-01 00:00:00.000000 UTC,497.0
2021-11-02 00:00:00.000000 UTC,254.0
2021-11-03 00:00:00.000000 UTC,314.0
2021-11-04 00:00:00.000000 UTC,296.0
2021-11-05 00:00:00.000000 UTC,410.0
2021-11-06 00:00:00.000000 UTC,717.0
2021-11-07 00:00:00.000000 UTC,407.0
2021-11-08 00:00:00.000000 UTC,262.0
2021-11-09 00:00:00.000000 UTC,286.0
2021-11-10 00:00:00.000000 UTC,237.0
2021-11-11 00:00:00.000000 UTC,284.0
2021-11-12 00:00:00.000000 UTC,408.0
2021-11-13 00:00:00.000000 UTC,865.0
2021-11-14 00:00:00.000000 UTC,383.0
2021-11-15 00:00:00.000000 UTC,260.0
2021-11-16 00:00:00.000000 UTC,344.0
2021-11-17 00:00:00.000000 UTC,255.0
2021-11-18 00:00:00.000000 UTC,317.0
2021-11-19 00:00:00.000000 UTC,426.0
2021-11-20 00:00:00.000000 UTC,646.0
2021-11-21 00:00:00.000000 UTC,458.0
2021-11-22 00:00:00.000000 UTC,268.0
2021-11-23 00:00:00.000000 UTC,276.0
2021-11-24 00:00:00.000000 UTC,316.0
2021-11-25 00:00:00.000000 UTC,293.0
2021-11-26 00:00:00.000000 UTC,390.0
2021-11-27 00:00:00.000000 UTC,685.0
2021-11-28 00:00:00.000000 UTC,397.0
2021-11-29 00:00:00.000000 UTC,261.0
2021-11-30 00:00:00.000000 UTC,324.0
2021-12-01 00:00:00.000000 UTC,277.0
2021-12-02 00:00:00.000000 UTC,312.0
2021-12-03 00:00:00.000000 UTC,469.0
2021-12-04 00:00:00.000000 UTC,648.0
2021-12-05 00:00:00.000000 UTC,392.0
2021-12-06 00:00:00.000000 UTC,231.0
2021-12-07 00:00:00.000000 UTC,343.0
2021-12-08 00:00:00.000000 UTC,225.0
2021-12-09 00:00:00.000000 UTC,261.0
2021-12-10 00:00:00.000000 UTC,442.0
2021-12-11 00:00:00.000000 UTC,575.0
2021-12-12 00:00:00.000000 UTC,326.0
2021-12-13 00:00:00.000000 UTC,264.0
2021-12-14 00:00:00.000000 UTC,401.0
2021-12-15 00:00:00.000000 UTC,364.0
2021-12-16 00:00:00.000000 UTC,381.0
2021-12-17 00:00:00.000000 UTC,533.0
2021-12-18 00:00:00.000000 UTC,618.0
2021-12-19 00:00:00.000000 UTC,487.0
2021-12-20 00:00:00.000000 UTC,368.0
2021-12-21 00:00:00.000000 UTC,392.0
2021-12-22 00:00:00.000000 UTC,418.0
2021-12-23 00:00:00.000000 UTC,392.0
2021-12-24 00:00:00.000000 UTC,244.0
2021-12-26 00:00:00.000000 UTC,186.0
2021-12-27 00:00:00.000000 UTC,191.0
2021-12-28 00:00:00.000000 UTC,252.0
2021-12-29 00:00:00.000000 UTC,212.0
2021-12-30 00:00:00.000000 UTC,208.0
2021-12-31 00:00:00.000000 UTC,286.0
2022-01-01 00:00:00.000000 UTC,228.0
2022-01-02 00:00:00.000000 UTC,349.0
2022-01-03 00:00:00.000000 UTC,199.0
2022-01-04 00:00:00.000000 UTC,234.0
2022-01-05 00:00:00.000000 UTC,266.0
2022-01-06 00:00:00.000000 UTC,253.0
2022-01-07 00:00:00.000000 UTC,221.0
2022-01-08 00:00:00.000000 UTC,335.0
2022-01-09 00:00:00.000000 UTC,217.0
2022-01-10 00:00:00.000000 UTC,125.0
2022-01-11 00:00:00.000000 UTC,117.0
2022-01-12 00:00:00.000000 UTC,387.0
2022-01-13 00:00:00.000000 UTC,156.0
2022-01-14 00:00:00.000000 UTC,199.0
2022-01-15 00:00:00.000000 UTC,391.0
2022-01-16 00:00:00.000000 UTC,248.0
2022-01-17 00:00:00.000000 UTC,165.0
2022-01-18 00:00:00.000000 UTC,207.0
2022-01-19 00:00:00.000000 UTC,232.0
2022-01-20 00:00:00.000000 UTC,238.0
2022-01-21 00:00:00.000000 UTC,242.0
2022-01-22 00:00:00.000000 UTC,499.0
2022-01-23 00:00:00.000000 UTC,288.0
2022-01-24 00:00:00.000000 UTC,161.0
2022-01-25 00:00:00.000000 UTC,213.0
2022-01-26 00:00:00.000000 UTC,236.0
2022-01-27 00:00:00.000000 UTC,216.0
2022-01-28 00:00:00.000000 UTC,344.0
2022-01-29 00:00:00.000000 UTC,562.0
